,document,subject,relation,object
30,"Then, O Bharata, the Pandavas going to Utkochaka, the sacred
asylum of Dhaumya installed Dhaumya as their priest.",asylum,installed Dhaumya as,their priest
31,"And Dhaumya, the
foremost of all conversant with the Vedas, receiving them with presents
of wild fruits and (edible) roots, consented to become their priest.",Dhaumya,foremost of,conversant with Vedas
32,"And Dhaumya, the
foremost of all conversant with the Vedas, receiving them with presents
of wild fruits and (edible) roots, consented to become their priest.",consented,become,their priest
33,"And Dhaumya, the
foremost of all conversant with the Vedas, receiving them with presents
of wild fruits and (edible) roots, consented to become their priest.",Dhaumya,receiving,them
34,"And
the Pandavas with their mother forming the sixth of the company, having
obtained that Brahmana as their priest regarded their sovereignty and
kingdom as already regained and the daughter of the Panchala king as
already obtained in the Swayamavara.",Pandavas,is with,their mother forming
35,"And
the Pandavas with their mother forming the sixth of the company, having
obtained that Brahmana as their priest regarded their sovereignty and
kingdom as already regained and the daughter of the Panchala king as
already obtained in the Swayamavara.",their priest,regarded,their sovereignty
36,"And
the Pandavas with their mother forming the sixth of the company, having
obtained that Brahmana as their priest regarded their sovereignty and
kingdom as already regained and the daughter of the Panchala king as
already obtained in the Swayamavara.",Pandavas,having obtained,Brahmana
37,"And
the Pandavas with their mother forming the sixth of the company, having
obtained that Brahmana as their priest regarded their sovereignty and
kingdom as already regained and the daughter of the Panchala king as
already obtained in the Swayamavara.",their priest,regarded as,already regained
38,"And
the Pandavas with their mother forming the sixth of the company, having
obtained that Brahmana as their priest regarded their sovereignty and
kingdom as already regained and the daughter of the Panchala king as
already obtained in the Swayamavara.",Pandavas,having obtained Brahmana,their priest regarded
39,"And
the Pandavas with their mother forming the sixth of the company, having
obtained that Brahmana as their priest regarded their sovereignty and
kingdom as already regained and the daughter of the Panchala king as
already obtained in the Swayamavara.",Pandavas,having obtained Brahmana,as their priest regarded
40,"And
the Pandavas with their mother forming the sixth of the company, having
obtained that Brahmana as their priest regarded their sovereignty and
kingdom as already regained and the daughter of the Panchala king as
already obtained in the Swayamavara.",Pandavas,having obtained,their priest regarded
41,"And
the Pandavas with their mother forming the sixth of the company, having
obtained that Brahmana as their priest regarded their sovereignty and
kingdom as already regained and the daughter of the Panchala king as
already obtained in the Swayamavara.",their priest,regarded as,regained
42,"And
the Pandavas with their mother forming the sixth of the company, having
obtained that Brahmana as their priest regarded their sovereignty and
kingdom as already regained and the daughter of the Panchala king as
already obtained in the Swayamavara.",Pandavas,having obtained,as their priest regarded
43,"And
the Pandavas with their mother forming the sixth of the company, having
obtained that Brahmana as their priest regarded their sovereignty and
kingdom as already regained and the daughter of the Panchala king as
already obtained in the Swayamavara.",daughter,obtained in,Swayamavara
44,"And
the Pandavas with their mother forming the sixth of the company, having
obtained that Brahmana as their priest regarded their sovereignty and
kingdom as already regained and the daughter of the Panchala king as
already obtained in the Swayamavara.",daughter,already obtained in,Swayamavara
45,"And those bulls of the Bharata race,
having obtained the master Dhaumya as their priest, also regarded
themselves as placed under a powerful protector.",bulls,having obtained as,their priest
46,"And those bulls of the Bharata race,
having obtained the master Dhaumya as their priest, also regarded
themselves as placed under a powerful protector.",bulls,having obtained master Dhaumya as,their priest
47,"And those bulls of the Bharata race,
having obtained the master Dhaumya as their priest, also regarded
themselves as placed under a powerful protector.",bulls,having obtained,master Dhaumya
48,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",high souled Dhaumya,becoming,spiritual preceptor
49,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",souled Dhaumya,preceptor of,Pandavas
50,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",souled Dhaumya,becoming,preceptor of Pandavas
51,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",Dhaumya,acquainted with,meaning
52,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",souled Dhaumya,becoming,spiritual preceptor
53,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",high souled Dhaumya,preceptor of,Pandavas
54,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",souled Dhaumya,acquainted with,true meaning
55,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",Dhaumya,becoming,preceptor of virtuous Pandavas
56,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",souled Dhaumya,acquainted with,meaning
57,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",high souled Dhaumya,acquainted with,meaning
58,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",Dhaumya,becoming,preceptor
59,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",high souled Dhaumya,preceptor of,virtuous Pandavas
60,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",Dhaumya,becoming,spiritual preceptor of Pandavas
61,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",Dhaumya,acquainted with,true meaning
62,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",high souled Dhaumya,becoming,preceptor of Pandavas
63,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",high souled Dhaumya,acquainted with,true meaning
64,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",Dhaumya,preceptor of,Pandavas
65,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",souled Dhaumya,becoming,spiritual preceptor of Pandavas
66,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",high souled Dhaumya,becoming,spiritual preceptor of Pandavas
67,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",Dhaumya,becoming,spiritual preceptor
68,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",high souled Dhaumya,becoming,preceptor of virtuous Pandavas
69,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",souled Dhaumya,spiritual preceptor of,Pandavas
70,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",high souled Dhaumya,spiritual preceptor of,Pandavas
71,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",high souled Dhaumya,becoming,preceptor
72,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",Dhaumya,becoming,spiritual preceptor of virtuous Pandavas
73,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",souled Dhaumya,becoming,preceptor
74,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",Dhaumya,preceptor of,virtuous Pandavas
75,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",high souled Dhaumya,spiritual preceptor of,virtuous Pandavas
76,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",Dhaumya,spiritual preceptor of,Pandavas
77,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",souled Dhaumya,spiritual preceptor of,virtuous Pandavas
78,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",high souled Dhaumya,becoming,spiritual preceptor of virtuous Pandavas
79,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",Dhaumya,spiritual preceptor of,virtuous Pandavas
80,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",souled Dhaumya,becoming,preceptor of virtuous Pandavas
81,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",souled Dhaumya,becoming,spiritual preceptor of virtuous Pandavas
82,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",Dhaumya,becoming,preceptor of Pandavas
83,"And the high-souled
Dhaumya, acquainted with the true meaning of the Vedas and every rule of
morality, becoming the spiritual preceptor of the virtuous Pandavas, made
them his Yajamanas (spiritual disciples).",souled Dhaumya,preceptor of,virtuous Pandavas
84,"And that Brahmana, beholding
those heroes endued with intelligence and strength and perseverance like
unto the celestials, regarded them as already restored, by virtue of
their own accomplishments to their sovereignty and kingdom.",Brahmana,regarded as,already restored by virtue
85,"And that Brahmana, beholding
those heroes endued with intelligence and strength and perseverance like
unto the celestials, regarded them as already restored, by virtue of
their own accomplishments to their sovereignty and kingdom.",Brahmana,regarded as,restored
86,"And that Brahmana, beholding
those heroes endued with intelligence and strength and perseverance like
unto the celestials, regarded them as already restored, by virtue of
their own accomplishments to their sovereignty and kingdom.",Brahmana,regarded as,restored by virtue to their sovereignty
87,"And that Brahmana, beholding
those heroes endued with intelligence and strength and perseverance like
unto the celestials, regarded them as already restored, by virtue of
their own accomplishments to their sovereignty and kingdom.",Brahmana,regarded as,already restored by virtue to their sovereignty
88,"And that Brahmana, beholding
those heroes endued with intelligence and strength and perseverance like
unto the celestials, regarded them as already restored, by virtue of
their own accomplishments to their sovereignty and kingdom.",Brahmana,regarded as,already restored
89,"And that Brahmana, beholding
those heroes endued with intelligence and strength and perseverance like
unto the celestials, regarded them as already restored, by virtue of
their own accomplishments to their sovereignty and kingdom.",Brahmana,regarded as,restored by virtue
90,"And that Brahmana, beholding
those heroes endued with intelligence and strength and perseverance like
unto the celestials, regarded them as already restored, by virtue of
their own accomplishments to their sovereignty and kingdom.",Brahmana,regarded as,restored by virtue of their accomplishments
91,"And that Brahmana, beholding
those heroes endued with intelligence and strength and perseverance like
unto the celestials, regarded them as already restored, by virtue of
their own accomplishments to their sovereignty and kingdom.",Brahmana,regarded,them
92,"Then those
kings of men, having had benedictions uttered upon them by that Brahmana,
resolved to go, accompanied by him, to the Swayamvara of the Princess of
Panchala.'""",benedictions,uttered by,Brahmana
93,"Then those
kings of men, having had benedictions uttered upon them by that Brahmana,
resolved to go, accompanied by him, to the Swayamvara of the Princess of
Panchala.'""",benedictions,uttered upon,them
94,"(Swayamvara Parva) ""Vaisampayana said, 'Then those tigers among men--those brothers--the
five Pandavas, set out for Panchala to behold that country and Draupadi
and the festivities (in view of her marriage).",festivities,is in,view of her marriage
95,"And those tigers among
men--those oppressors of all enemies--in going along with their mother,
saw on the way numerous Brahmanas proceeding together.",Brahmanas,proceeding on,way
96,"And those tigers among
men--those oppressors of all enemies--in going along with their mother,
saw on the way numerous Brahmanas proceeding together.",numerous Brahmanas,proceeding together on,way
97,"And those tigers among
men--those oppressors of all enemies--in going along with their mother,
saw on the way numerous Brahmanas proceeding together.",Brahmanas,proceeding together on,way
98,"And those tigers among
men--those oppressors of all enemies--in going along with their mother,
saw on the way numerous Brahmanas proceeding together.",numerous Brahmanas,proceeding on,way
99,"And those
Brahmanas who were all Brahmacharis beholding the Pandavas, O king, asked
them, 'Where are ye going to?",Brahmacharis,were beholding,Pandavas
100,"And Yudhishthira
replied unto them, saying, 'Ye bulls among Brahmanas, know ye that we are
uterine brothers proceeding together with our mother.",Yudhishthira,replied unto,them
101,"We are coming even
from Ekachakra.'",We,are coming from,even Ekachakra
102,"We are coming even
from Ekachakra.'",We,are coming from,Ekachakra
103,"The Brahmanas then said, 'Go ye this very day to the
abode of Drupada in the country of the Panchalas.",abode,is in,country of Panchalas
104,"A great Swayamvara
takes place there, on which a large sum of money will be spent.",Swayamvara,takes there,place
105,"A great Swayamvara
takes place there, on which a large sum of money will be spent.",great Swayamvara,takes there,place
106,"A great Swayamvara
takes place there, on which a large sum of money will be spent.",Swayamvara,takes,place
107,"A great Swayamvara
takes place there, on which a large sum of money will be spent.",great Swayamvara,takes,place
108,"We also
are proceeding thither.",We,also are proceeding,thither
109,"We also
are proceeding thither.",We,are proceeding,thither
110,"Extraordinary festivities
will take place (in Drupada's abode).",festivities,will take place in,Drupada 's abode
111,"Extraordinary festivities
will take place (in Drupada's abode).",Extraordinary festivities,will take in,Drupada 's abode
112,"Extraordinary festivities
will take place (in Drupada's abode).",festivities,will take in,Drupada 's abode
113,"Extraordinary festivities
will take place (in Drupada's abode).",Drupada,in,abode
114,"Extraordinary festivities
will take place (in Drupada's abode).",Extraordinary festivities,will take place in,Drupada 's abode
115,"Extraordinary festivities
will take place (in Drupada's abode).",Extraordinary festivities,will take,place
116,"Extraordinary festivities
will take place (in Drupada's abode).",festivities,will take,place
117,"The illustrious Yajnasena,
otherwise called Drupada, had a daughter risen from the centre of the
sacrificial altar.",daughter,risen from,centre of sacrificial altar
118,"The illustrious Yajnasena,
otherwise called Drupada, had a daughter risen from the centre of the
sacrificial altar.",daughter,risen from,centre
119,"The illustrious Yajnasena,
otherwise called Drupada, had a daughter risen from the centre of the
sacrificial altar.",daughter,risen from,centre of altar
120,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is extremely beautiful Of,eyes like lotus petals of features endued
121,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is beautiful Of,eyes of features endued
122,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is extremely beautiful Of,eyes like lotus petals of faultless features endued with youth
123,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is extremely beautiful Of,eyes like lotus petals
124,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is beautiful Of,eyes like lotus petals of features endued
125,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is beautiful Of,eyes like lotus petals of faultless features
126,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is extremely beautiful Of,eyes of features endued with youth
127,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is extremely beautiful Of,eyes like lotus petals of faultless features
128,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is extremely beautiful Of,eyes like lotus petals of features endued with youth
129,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is beautiful Of,eyes of features
130,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is beautiful Of,eyes of faultless features endued with youth
131,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is extremely beautiful Of,eyes of features endued
132,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is extremely beautiful Of,eyes of features
133,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is beautiful Of,eyes
134,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is extremely beautiful Of,eyes of faultless features
135,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is beautiful Of,eyes like lotus petals
136,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is beautiful Of,eyes of features endued with youth
137,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is beautiful Of,eyes like lotus petals of features endued with youth
138,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is extremely beautiful Of,eyes of faultless features endued with youth
139,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is beautiful Of,eyes of faultless features endued
140,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is extremely beautiful Of,eyes like lotus petals of features
141,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is beautiful Of,eyes like lotus petals of faultless features endued with youth
142,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is beautiful Of,eyes of faultless features
143,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is extremely beautiful Of,eyes of faultless features endued
144,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is,extremely beautiful
145,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is beautiful Of,eyes like lotus petals of faultless features endued
146,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is extremely beautiful Of,eyes
147,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is extremely beautiful Of,eyes like lotus petals of faultless features endued
148,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is,beautiful
149,"Of eyes like lotus-petals and of faultless features
endued with youth and intelligence, she is extremely beautiful.",she,is beautiful Of,eyes like lotus petals of features
150,"And that daughter of Yajnasena will select a
husband from among the invited princes.",daughter,will select husband from,from invited princes
151,"And that daughter of Yajnasena will select a
husband from among the invited princes.",daughter,will select from,from princes
152,"And that daughter of Yajnasena will select a
husband from among the invited princes.",daughter,will select husband from,from princes
153,"And that daughter of Yajnasena will select a
husband from among the invited princes.",daughter,will select,husband
154,"And that daughter of Yajnasena will select a
husband from among the invited princes.",daughter,will select from,from invited princes
155,"And we are repairing thither to
behold her and the festivities on the occasion, like unto the festivities
of heaven.",we,are repairing like,like festivities of heaven
156,"And we are repairing thither to
behold her and the festivities on the occasion, like unto the festivities
of heaven.",we,are repairing thither like,like festivities
157,"And we are repairing thither to
behold her and the festivities on the occasion, like unto the festivities
of heaven.",we,are repairing like,like festivities
158,"And we are repairing thither to
behold her and the festivities on the occasion, like unto the festivities
of heaven.",we,are repairing thither like,like festivities of heaven
159,"And to that Swayamvara will come from various lands kings and
princes who are performers of sacrifices in which the presents to the
Brahmanas are large: who are devoted to study, are holy, illustrious, and
of rigid vows; who are young and handsome; and who are mighty
car-warriors and accomplished in arms.",princes,are,performers
160,"And to that Swayamvara will come from various lands kings and
princes who are performers of sacrifices in which the presents to the
Brahmanas are large: who are devoted to study, are holy, illustrious, and
of rigid vows; who are young and handsome; and who are mighty
car-warriors and accomplished in arms.",presents,are,large
161,"And to that Swayamvara will come from various lands kings and
princes who are performers of sacrifices in which the presents to the
Brahmanas are large: who are devoted to study, are holy, illustrious, and
of rigid vows; who are young and handsome; and who are mighty
car-warriors and accomplished in arms.",princes,are performers of,sacrifices
162,"And to that Swayamvara will come from various lands kings and
princes who are performers of sacrifices in which the presents to the
Brahmanas are large: who are devoted to study, are holy, illustrious, and
of rigid vows; who are young and handsome; and who are mighty
car-warriors and accomplished in arms.",princes,are performers,large
163,"Desirous of winning (the hand of)
the maiden those monarchs will all give away much wealth and kine and
food and other articles of enjoyment.",monarchs,give away,much wealth
164,"Desirous of winning (the hand of)
the maiden those monarchs will all give away much wealth and kine and
food and other articles of enjoyment.",monarchs,hand of,maiden
165,"Desirous of winning (the hand of)
the maiden those monarchs will all give away much wealth and kine and
food and other articles of enjoyment.",monarchs,give,much wealth
166,"Desirous of winning (the hand of)
the maiden those monarchs will all give away much wealth and kine and
food and other articles of enjoyment.",monarchs,give,wealth
167,"Desirous of winning (the hand of)
the maiden those monarchs will all give away much wealth and kine and
food and other articles of enjoyment.",monarchs,give away,wealth
168,"And taking all they will give away
and witnessing the Swayamvara, and enjoying the festivities, we shall go
wheresoever we like.",they,witnessing,Swayamvara
169,"And taking all they will give away
and witnessing the Swayamvara, and enjoying the festivities, we shall go
wheresoever we like.",we,shall go,wheresoever
170,"And taking all they will give away
and witnessing the Swayamvara, and enjoying the festivities, we shall go
wheresoever we like.",they,enjoying,festivities
171,"And
beholding all these sights and taking what will be given away to
illustrious ones, ye will return with us.",ye,will return with,us
172,"Ye are all handsome and like
unto the celestials!",Ye,are all handsome unto,celestials
173,"Ye are all handsome and like
unto the celestials!",Ye,are handsome unto,celestials
174,"Beholding you, Krishna may, by chance, choose some
one amongst you superior to the rest.",Krishna,may choose amongst,you
175,"Beholding you, Krishna may, by chance, choose some
one amongst you superior to the rest.",Krishna,may choose amongst,you superior
176,"Beholding you, Krishna may, by chance, choose some
one amongst you superior to the rest.",Krishna,may choose amongst,you superior to rest
177,"Beholding you, Krishna may, by chance, choose some
one amongst you superior to the rest.",Krishna,Beholding,you
178,"""On hearing these words of the Brahmanas, Yudhishthira replied, 'Ye
Brahmanas, we will all go with you to witness that maiden's
Swayamvara--that excellent jubilee.'""",we,all go,with you witness
179,"""On hearing these words of the Brahmanas, Yudhishthira replied, 'Ye
Brahmanas, we will all go with you to witness that maiden's
Swayamvara--that excellent jubilee.'""",we,go,with you witness
180,"""On hearing these words of the Brahmanas, Yudhishthira replied, 'Ye
Brahmanas, we will all go with you to witness that maiden's
Swayamvara--that excellent jubilee.'""",you,witness,maiden 's Swayamvara
181,"""On hearing these words of the Brahmanas, Yudhishthira replied, 'Ye
Brahmanas, we will all go with you to witness that maiden's
Swayamvara--that excellent jubilee.'""",Yudhishthira,replied On,hearing
