,paras
31,"Draupadi said,--'Wait a little, thou worst of men, thou wicked-minded
Dussasana. I have an act to perform--a high duty that hath not been
performed by me yet. Dragged forcibly by this wretch's strong arms, I was
deprived of my senses. I salute these reverend seniors in this assembly
of the Kurus. That I could not do this before cannot be my fault.'"""
32,"Vaisampayana said,--""Dragged with greater force than before, the
afflicted and helpless Draupadi, undeserving of such treatment, falling
down upon the ground, thus wept in that assembly of the Kurus,--"
33,"""'Alas, only once before, on the occasion of the Swayamvara, I was beheld
by the assembled kings in the amphitheatre, and never even once beheld
afterwards. I am to-day brought before this assembly. She whom even the
winds and the sun had seen never before in her palace is to-day before
this assembly and exposed to the gaze of the crowd. Alas, she whom the
sons of Pandu could not, while in her palace, suffer to be touched even
by the wind, is to-day suffered by the Pandavas to be seized and dragged
by this wretch. Alas, these Kauravas also suffer their daughter-in-law,
so unworthy of such treatment, to be thus afflicted before them. It
seemeth that the times are out of joint. What can be more distressing to
me, than that though high-born and chaste, I should yet be compelled to
enter this public court? Where is that virtue for which these kings were
noted? It hath been heard that the kings of ancient days never brought
their wedded wives into the public court. Alas, that eternal usage hath
disappeared from among the Kauravas. Else, how is it that the chaste wife
of the Pandavas, the sister of Prishata's son, the friend of Vasudeva, is
brought before this assembly? Ye Kauravas, I am the wedded wife of king
Yudhishthira the just, hailing from the same dynasty to which the King
belonged. Tell me now if I am a serving-maid or otherwise. I will
cheerfully accept your answer. This mean wretch, this destroyer of the
name of the Kurus, is afflicting me hard. Ye Kauravas, I cannot bear it
any longer. Ye kings, I desire ye to answer whether ye regard me as won
or unwon. I will accept your verdict whatever it be.'"
34,"""Hearing these words, Bhishma answered, I have already said, O blessed
one that the course of morality is subtle. Even the illustrious wise in
this world fail to understand it always. What in this world a strong man
calls morality is regarded as such by others, however otherwise it may
really be; but what a weak man calls morality is scarcely regarded as
such even if it be the highest morality. From the importance of the issue
involved, from its intricacy and subtlety, I am unable to answer with
certitude the question thou hast asked. However, it is certain that as
all the Kurus have become the slaves of covetousness and folly, the
destruction of this our race will happen on no distant date. O blessed
one, the family into which thou hast been admitted as a daughter-in-law,
is such that those who are born in it, however much they might be
afflicted by calamities, never deviate from the paths of virtue and
morality. O Princess of Panchala, this conduct of thine also, viz. that
though sunk in distress, thou still easiest thy eyes on virtue and
morality, is assuredly worthy of thee. These persons, Drona and others,
of mature years and conversant with morality, sit heads downwards like
men that are dead, with bodies from which life hath departed. It seemeth
to me, however, that Yudhishthira is an authority on this question. It
behoveth him to declare whether thou art won or not won."""
35,
36,"Vaisampayana said,--""The kings present in that assembly, from tear of
Duryodhana, uttered not a word, good or ill, although they beheld
Draupadi crying piteously in affliction like a female osprey, and
repeatedly appealing to them. And the son of Dhritarashtra beholding
those kings and sons and grand sons of kings all remaining silent, smiled
a little, and addressing the daughter of the king of Panchala, said,--O
Yajnaseni, the question thou hast put dependeth on thy husbands--on Bhima
of mighty strength, on Arjuna, on Nakula, on Sahadeva. Let them answer
thy question. O Panchali, let them for thy sake declare in the midst of
these respectable men that Yudhishthira is not their lord, let them
thereby make king Yudhishthira the just a liar. Thou shalt then be freed
from the condition of slavery. Let the illustrious son of Dharma, always
adhering to virtue, who is even like Indra, himself declare whether he is
not thy lord. At his words, accept thou the Pandavas or ourselves without
delay. Indeed, all the Kauravas present in this assembly are floating in
the ocean of thy distress. Endued with magnanimity, they are unable to
answer thy question, looking at thy unfortunate husbands.'"""
37,"Vaisampayana continued,--""Hearing these words of the Kuru king, all who
were present in the assembly loudly applauded them. And shouting
approvingly, they made signs unto one another by motions of their eyes
and lips. And amongst some that were there, sounds of distress such as
'O! and 'Alas!"" were heard. And at these words of Duryodhana, so
delightful (to his partisans), the Kauravas present in that assembly
became exceedingly glad. And the kings, with faces turned sideways,
looked upon Yudhishthira conversant with the rules of morality, curious
to hear what he would say. And every one present in that assembly became
curious to hear what Arjuna, the son of Pandu never defeated in battle,
and what Bhimasena, and what the twins also would say. And when that busy
hum of many voices became still, Bhimasena, waving his strong and
well-formed arms smeared with sandalpaste spake these words,--'If this
high-souled king Yudhishthira the just, who is our eldest brother, had
not been our lord, we would never have forgiven the Kuru race (for all
this). He is the lord of all our religious and ascetic merits, the lord
of even our lives. If he regardeth himself as won, we too have all been
won. If this were not so, who is there amongst creatures touching the
earth with their feet and mortal, that would escape from me with his life
after having touched those locks of the princess of Panchala? Behold
these mighty, well-formed arms of mine, even like maces of iron. Having
once come within them, even he of a hundred sacrifices is incapable of
effecting an escape. Bound by the ties of virtue and the reverence that
is due to our eldest brother, and repeatedly urged by Arjuna to remain
silent, I am not doing anything terrible. If however, I am once commanded
by king Yudhishthira the just, I would slay these wretched sons of
Dhritarashtra, making slaps do the work of swords, like a lion slaying a
number of little animals."""
38,"Vaisampayana continued,--""Unto Bhima who had spoken these words Bhishma
and Drona and Vidura said, 'Forbear, O Bhima. Everything is possible with
thee.'"""
39,
40,"""Karna said,--'Of all the persons in the assembly, three, viz., Bhishma,
Vidura, and the preceptor of the Kurus (Drona) appear to be independent;
for they always speak of their master as wicked, always censure him, and
never wish for his prosperity. O excellent one, the slave, the son, and
the wife are always dependent. They cannot earn wealth, for whatever they
earn belongeth to their master. Thou art the wife of a slave incapable of
possessing anything on his own account. Repair now to the inner
apartments of king Dhritarashtra and serve the king's relatives. We
direct that that is now thy proper business. And, O princess, all the
sons of Dhritarashtra and not the sons of Pritha are now thy masters. O
handsome one, select thou another husband now,--one who will not make
thee a slave by gambling. It is well-known that women, especially that
are slaves, are not censurable if they proceed with freedom in electing
husbands. Therefore let it be done by thee. Nakula hath been won, as also
Bhimasena, and Yudhishthira also, and Sahadeva, and Arjuna. And, O
Yajnaseni, thou art now a slave. Thy husbands that are slaves cannot
continue to be thy lords any longer. Alas, doth not the son of Pritha
regards life, prowess and manhood as of no use that he offereth this
daughter of Drupada, the king of Panchala, in the presence of all this
assembly, as a stake at dice?'"""
41,"Vaisampayana continued,--""Hearing these words, the wrathful Bhima
breathed hard, a very picture of woe. Obedient to the king and bound by
the tie of virtue and duty, burning everything with his eyes inflamed by
anger, he said,--'O king, I cannot be angry at these words of this son of
a Suta, for we have truly entered the state of servitude. But O king,
could our enemies have said so unto me, it thou hadst not played staking
this princess?'"""
42,"Vaisampayana continued,--""Hearing these words of Bhimasena king
Duryodhana addressed Yudhishthira who was silent and deprived of his
senses, saying,--'O king, both Bhima and Arjuna, and the twins also, are
under thy sway. Answer thou the question (that hath been asked by
Draupadi). Say, whether thou regardest Krishna as unwon.' And having
spoken thus unto the son of Kunti, Duryodhana. desirous of encouraging
the son of Radha and insulting Bhima, quickly uncovered his left thigh
that was like unto the stem of a plantain tree or the trunk of an
elephant and which was graced with every auspicious sign and endued with
the strength of thunder, and showed it to Draupadi in her very sight. And
beholding this, Bhimasena expanding his red eyes, said unto Duryodhana in
the midst of all those kings and as if piercing them (with his dart-like
words),--'Let not Vrikodara attain to the regions, obtained by his
ancestors, if he doth not break that thigh of thine in the great
conflict. And sparkles of fire began to be emitted from every organ of
sense of Bhima filled with wrath, like those that come out of every crack
and orifice in the body of a blazing tree."
