,summary
24,Draupadi was being dragged by the Kauravas.She cried out for protection.Krishna came on foot to help her.He covered her with robes of many hues.There was a great uproar.Bhima swore a terrible oath in the assembly.
25,"Bhima's words were never before uttered by other men, nor will anybody in the future ever utter them.Bhima said, if having spoken these words I do not accomplish them hereafter, let me not obtain the region of my deceased ancestors.If I don't drink Bhima's life-blood, I won't obtain the regions of my ancestors."
26,"Vaisampayana tells the story of Bhima, Draupadi, Vidura and the Kauravas in the assembly.Vidura is the master of the science of morality.He tells the assembly to quench the fire and cool down the person who asks a question without answering it."
27,"Prahlada's son Virochana had a fight with Sudhanwan, the son of Angiras, for the sake of getting a bride.They had to choose between them, and Prahlado was the arbitrator between them.He told them to answer the question truthfully and not falsely."
28,"""Let all the persons present in this assembly hear these high truths of morality and reflect upon what should be the answer to Draupadi's question.  ""Vidura continued. ""Draupadi"" is the question asked by Vidura."
29,Karna ordered Dussasana to take away serving-woman Krishna into the inner-apartments.Draupadi was dragged before all the spectators to be taken away.She cried and wept for the Pandavas' sake.   
30,"""I am a little bit overweight.I am not a very good conversationalist.I have a lot of problems with vocabulary.I do not know how to talk to people.I don't have a good vocabulary. I am a bit of a talkative person."
31,"Draupadi was dragged forcibly by Dussasana and deprived of his senses, but she had a high duty to perform and she had not done it yet.She saluted the reverend seniors in the assembly of Kurus for helping her to do it."
32,"Draupadi wept in the assembly of the Kurus, because she was dragged and beaten.Vaisampayana said that Draupadi was undeserving of such treatment and fell down on the ground.   ""Dragged with greater force than before""."
33,"Yudhishthira, the daughter-in-law of the Kauravas, is brought before the assembly today.She wants to know if she is a serving-maid or a wife of a king.She is upset that she is forced to enter the public court."
34,"""The course of morality is subtle.Even the illustrious wise in this world fail to understand it always.As all the Kurus have become slaves of covetousness and folly, the destruction of this race will happen soon.The family into which Bhishma has been admitted as a daughter-in-law is such that those who are born in it never deviate from the paths of virtue and morality."
35,"""I am a little bit overweight.I am not a very good conversationalist.I have a lot of problems with vocabulary.I do not know how to talk to people.I don't have a good vocabulary. I am a bit of a talkative person."
36,Vaisampayana tells of the assembly where Draupadi was crying out for help.The kings and sons of kings were silent.The daughter of the king of Panchala wants her husband to declare that Yudhishthira is not their lord.
37,"Vaisampayana describes the assembly's reaction to the words of Duryodhana and Bhimasena and Arjuna.He also describes Yudhishthira, the Kuru king, and the Kauravas present in the assembly."
38,"Bhishma, Drona and Vidura said to Bhima, ""Forbear, O Bhima.Everything is possible with thee. Vaisampayana continues.      ""Unto Bhima who had spoken these words"""
39,"""I am a little bit overweight.I am not a very good conversationalist.I have a lot of problems with vocabulary.I do not know how to talk to people.I don't have a good vocabulary. I am a bit of a talkative person."
40,"Yajnaseni is now the wife of a slave.Bhishma, Vidura, and the preceptor of the Kurus (Drona) are independent, but Bhimasena, Yudhishthira, Sahadeva, and Arjuna are slaves."
41,"Vaisampayana tells the story of Bhima's reaction to the king's words.Bhima is angry at the king, because Bhima had played a staking with a princess and his people have entered the state of servitude.  "
42,"Duryodhana asked Bhimasena if he regards Krishna as unwon.Bhima, Arjuna and the twins are under Bhim's sway.He uncovered his left thigh and showed it to Draupadi in her very sight.She was angry."
43,"The sons of Dhritarashtra are arguing in the assembly about a lady of the royal household.Vidura warns the Bharatas that if virtue is persecuted, the assembly will be polluted.If Yudhishthira had staked her before he was himself, he would have been regarded as her master."
44,"Duryodhana is willing to abide by the words of Bhima, Arjuna and the twins, if they say that Yudhishthira is not their master.Yajnaseni will then be freed from her state of bondage."
45,"Yudhishthira lost himself and no longer knew who he was.Arjuna was their master before he began to play and he will be their master after he has learnt to be a better player.   ""Let all the Kauravas judge whose master he could be after that"""
46,"Vaisampayana describes a terrible omen that happened in the palace of king Dhritarashtra's palace.Bhishma, Drona, Gautama, Vidura, Gandhari, and Suvala heard the jackal cry and heard the birds cry."
47,"Duryodhana insulted Draupadi's wife, Krishna, the princess of Panchala.Dhritarashtra wanted to save his family and friends from destruction.He asked Krishna to ask him for a boon for his daughter-in-law."
48,"Draupadi wants Yudhishthira to be freed from slavery.She doesn't want her son Prativindhya to be called the child of a slave, because he was a prince and was nurtured by kings, so it's not proper to call him a slave's child."
49,"Dhritarashtra will give her a second boon, because she doesn't deserve only one.She should ask him for another one.   ""O auspicious one, let it be as thou sayest and I will give it to thee."
50,"Draupadi asks the king to free Bhimasena and Dhananjaya and thetwins from their bondage.  .     - King of the Universe. - ""O king, free them from bondage""."
51,Dhritarashtra wants his daughter-in-law to ask him for a third boon.She has already been honoured with two boons.She is the foremost of Dhritarra's daughters-in'-law.She wants to ask for the third boon as she has been honoured twice.
52,"Draupadi does not deserve a third boon, because covetousness always brings about loss of virtue.Draupadi wants her husbands freed from the wretched state of bondage and able to achieve prosperity by their ownvirtuous acts only.  "
53,"""I am a little bit overweight.I am not a very good conversationalist.I have a lot of problems with vocabulary.I do not know how to talk to people.I don't have a good vocabulary. I am a bit of a talkative person."
54,"Draupadi brought the sons of Pandu and Dhritarashtra to the shore.Karna has never heard of such an act performed by a woman noted for her beauty before.  .  ""Drau became as a boat unto the sons who were sinking in a boatless ocean of distress, and brought them to safety"" "
55,"Vaisampayana's wife insulted Arjuna's wife, so Bhimasena had a son born from her, but it was of no service to them.Vaisambayana believes that the son will not be of any use to them in the end."
56,"""Superior persons, O Bharata, never prate about harsh words that may or may not be uttered by inferior men.People that have earned respect for themselves, even if they are able to retaliate, should remember not the acts of hostility done by their enemies, but only their good deeds."
57,Bhima wants to kill all his enemies and rule the whole earth.Arjuna pacifies his elder brother Bhima.Yudhishthira forbade Bhima from killing his enemies.Bhima approaches his uncle Dhritarashtra and pleads for peace.
58,"""I am a little bit overweight.I am not a very good conversationalist.I have a lot of problems with vocabulary.I do not know how to talk to people.I don't have a good vocabulary. I am a bit of a talkative person."
59,"Yudhishthira and Bharata want to remain always in obedience to their king, King Bharata, and obey him as he tells them what to do.They want to be his slaves.They are obeying him as his master. "
60,Dhritarashtra told Ajatasatru to go and rule his own kingdom with his wealth.He also advised Yudhishthira and Bharata to follow the counsels of peace.Bhimasena and Vidura are good men of prepossessing countenance.
61,Yudhishthira was addressed by his uncle.He set out with his brothers for Khandavaprastha.He was accompanied by Draupadi.They all set out for the best of cities called Indraprastha.Vaisampayana continued.
62,"""I am a little bit overweight.I am not a very good conversationalist.I have a lot of problems with vocabulary.I do not know how to talk to people.I don't have a good vocabulary. I am a bit of a talkative person."
