sentence,subject,relation,object,subject_side,object_side,
"And Bhima then, piercing Santanu's son Bhishma in that combat with three arrows, pierced Kripa with one, and Kritavarman with eight.",Bhima,pierced,Kripa,,,
"And Bhima then, piercing Santanu's son Bhishma in that combat with three arrows, pierced Kripa with one, and Kritavarman with eight.",Bhima,piercing,Santanu 's son,,,
"Drawing (his) bow to the fullest stretch, Sweta pierced Bhishma with seven arrows.",Sweta,pierced,Bhishma,,,
"And Sweta then, that delighter of Kshatriyas struck Bhishma, and Bhishma the son of Santanu also pierced the son of Santanu in return with ten arrows.",Bhishma,pierced,son of Santanu,,,
"And Sweta then, that delighter of Kshatriyas struck Bhishma, and Bhishma the son of Santanu also pierced the son of Santanu in return with ten arrows.",Bhishma,also pierced,son of Santanu,,,
"And Sweta again pierced Santanu's son with five and twenty straight arrows, at which all wondered.",Sweta,pierced,Santanu 's son,,,
"Then Bhishma the son of Santanu, taking up another bow in that battle, pierced Sweta, O king, with arrows furnished with feathers of Kanka bird.",Bhishma,pierced,Sweta,,,
"Beholding Bhishma advance, Bhimasena of great prowess pierced Bhimasena with sixty shafts.",Bhimasena,pierced,Bhimasena,,,
"And Artayani O king, pierced Pandu's son with three broad-headed arrows.",Artayani O king,pierced,Pandu 's son,,,
And Arjuna pierced Arjuna in return with ten shafts penetrating into the very vitals.,Arjuna,pierced,Arjuna,,,
And Arjuna pierced Bhishma with five and twenty arrows of sharp points.,Arjuna,pierced,Bhishma,,,
"And Bhishma, too, in that combat, pierced Partha in return with nine arrows.",Bhishma,pierced,Partha,,,
"Then Arjuna, indignant at seeing Madhava, pierced in that combat the charioteer of Ganga's son with three arrows.",Arjuna indignant,pierced,charioteer of Ganga 's son,,,
"Then Arjuna, indignant at seeing Madhava, pierced in that combat the charioteer of Ganga's son with three arrows.",Arjuna,pierced,charioteer of Ganga 's son with three arrows,,,
"Then Arjuna, indignant at seeing Madhava, pierced in that combat the charioteer of Ganga's son with three arrows.",Arjuna indignant,pierced,charioteer of Ganga 's son with three arrows,,,
"Then Arjuna, indignant at seeing Madhava, pierced in that combat the charioteer of Ganga's son with three arrows.",Arjuna,pierced,charioteer of Ganga 's son,,,
Drona with diverse arrows pierced Dhrishtadyumna and felled the latter's charioteer from Drona with diverse arrows niche in the car.,Drona,pierced,Dhrishtadyumna,,,
"And the heroic Dhrishtadyumna too pierced Drona in the combat with nine sharp arrows and addressed him, saying, 'Wait--Wait'.",Dhrishtadyumna,pierced,Drona,,,
"And the heroic Dhrishtadyumna too pierced Drona in the combat with nine sharp arrows and addressed him, saying, 'Wait--Wait'.",heroic Dhrishtadyumna,pierced,Drona,,,
"Then the high-souled Dhrishtadyumna, taking up another bow, and putting forth his prowess pierced Drona in that encounter with five shafts.",souled Dhrishtadyumna,pierced,Drona,,,
"Then the high-souled Dhrishtadyumna, taking up another bow, and putting forth his prowess pierced Drona in that encounter with five shafts.",Dhrishtadyumna,pierced,Drona,,,
"Then the high-souled Dhrishtadyumna, taking up another bow, and putting forth his prowess pierced Drona in that encounter with five shafts.",high souled Dhrishtadyumna,pierced,Drona,,,
"And, O bull of Bharata's race, Bharata pierced Salya with five and twenty, and Kripa with nine arrows, and Aswatthaman with eight.",Bharata,pierced,Salya,,,
"Drona's son, however, quickly pierced Arjuna's son with many winged arrows, and Salya pierced Arjuna's son with twelve, and Kripa with three sharp arrows.",Salya,pierced,Arjuna 's son,,,
"And Bhimasena, the son of Pandu, excited with wrath, pierced the vindictive Duryodhana in the breast, with an arrow, smiling the while.",Bhimasena excited,pierced,vindictive Duryodhana,,,
"And Bhimasena, the son of Pandu, excited with wrath, pierced the vindictive Duryodhana in the breast, with an arrow, smiling the while.",Bhimasena excited,pierced,Duryodhana,,,
"And Bhimasena, the son of Pandu, excited with wrath, pierced the vindictive Duryodhana in the breast, with an arrow, smiling the while.",Bhimasena,pierced,vindictive Duryodhana,,,
"And Bhimasena, the son of Pandu, excited with wrath, pierced the vindictive Duryodhana in the breast, with an arrow, smiling the while.",Bhimasena,pierced,Duryodhana,,,
"And the Kaurava army, thus slaughtered in battle with the shafts of Partha, fled away, trembling in grief and fear.",Kaurava army,slaughtered in,battle with shafts of Partha,,,
"And those Pandava warriors struck off the heads of those Pandava warriors foes battling from the backs of elephants, with well-tempered and keen-edged shafts of diverse forms.",Pandava warriors,struck off,heads of Pandava warriors foes,,,
"And those Pandava warriors struck off the heads of those Pandava warriors foes battling from the backs of elephants, with well-tempered and keen-edged shafts of diverse forms.",Pandava warriors,struck off,heads of Pandava warriors foes battling from backs of elephants,,,
"And those Pandava warriors struck off the heads of those Pandava warriors foes battling from the backs of elephants, with well-tempered and keen-edged shafts of diverse forms.",Pandava warriors,struck off,heads of Pandava warriors foes battling from backs,,,
"And those Pandava warriors struck off the heads of those Pandava warriors foes battling from the backs of elephants, with well-tempered and keen-edged shafts of diverse forms.",Pandava warriors,struck off,heads of Pandava warriors foes battling,,,
"Satyaki also, of immeasurable soul, in the very sight of all the troops, pierced the Kaurava warrior with nine shafts.",Satyaki,pierced,Kaurava warrior,,,
"Satyaki also, of immeasurable soul, in the very sight of all the troops, pierced the Kaurava warrior with nine shafts.",Satyaki,also pierced,Kaurava warrior,,,
"Having said this, O monarch, Pritha's son pierced Pritha's son with sharp-pointed arrows decked with gold.",Pritha 's son,pierced,Pritha 's son,,,
Then Duryodhana having pierced the mighty Bhima with six arrows pierced Visoka in return with three other sharp arrows.,Duryodhana,having pierced,mighty Bhima,,,
Then Duryodhana having pierced the mighty Bhima with six arrows pierced Visoka in return with three other sharp arrows.,Duryodhana,having pierced,Bhima,,,
"Then the mighty Bhimasena, regaining consciousness, pierced Duryodhana at first with those shafts and then with five.",mighty Bhimasena,pierced,Duryodhana,,,
"Then the mighty Bhimasena, regaining consciousness, pierced Duryodhana at first with those shafts and then with five.",Bhimasena,pierced,Duryodhana,,,
"Meanwhile, Bhishma the son of Santanu began to slay the Pandava forces like Indra slaying the Danavas.",Bhishma,slay,Pandava forces,,,
"Meanwhile, Bhishma the son of Santanu began to slay the Pandava forces like Indra slaying the Danavas.",Bhishma,slay,Pandava forces like Indra slaying,,,
"Then Drona, excited with wrath in that conflict and endued with great energy, pierced Bhima with nine shafts made wholly of iron, aiming Bhima vital limbs.",Drona excited,pierced,Bhima,,,
"Then Drona, excited with wrath in that conflict and endued with great energy, pierced Bhima with nine shafts made wholly of iron, aiming Bhima vital limbs.",Drona,pierced,Bhima,,,
"Deeply pierced by Bharadwaja's son in that conflict, Bhima despatched Drona's charioteer to the region of Yama.",Bhima,Deeply pierced by,Bharadwaja 's son,,,
"And at that time Drona, the foremost of all wielders of weapons, approaching Drupada, pierced Drupada with three fierce shafts.",Drona,pierced,Drupada,,,
"And that monarch then, O king, viz., Drupada, deeply pierced by Drona, left the battle, O Bharata, remembering his former hostility (with Bharadwaja's son).",Drupada,deeply pierced by,Drona,,,
Then Durjaya and Vikarna pierced Abhimanyu with five shafts made wholly of iron.,Vikarna,pierced,Abhimanyu,,,
Then Durjaya and Vikarna pierced Abhimanyu with five shafts made wholly of iron.,Durjaya,pierced,Abhimanyu,,,
"And Durmukha, having pierced Srutakarman with five shafts, cut off the latter's standard with a single shaft and then pierced Srutakarman charioteer with seven.",Durmukha,pierced,Srutakarman charioteer,,,
"And Satanika, drawing his bow in that battle with great force, speedily pierced Jayatsena with ten shafts, and uttered a loud shout like an infuriate elephant.",Satanika,pierced,Jayatsena,,,
"And then with another broad-headed arrow, well-aimed and capable of coursing swiftly, Satanika, excited with great wrath deeply pierced Dushkarna in the chest.",Satanika,pierced,Dushkarna,,,
"And then with another broad-headed arrow, well-aimed and capable of coursing swiftly, Satanika, excited with great wrath deeply pierced Dushkarna in the chest.",Satanika excited,pierced,Dushkarna,,,
"And Bhishma the son of Santanu excited with wrath, began to slaughter the troops of the high-souled Pandavas with the son of Santanu straight shafts.",Bhishma,slaughter,troops of high souled Pandavas,,,
"And Bhishma the son of Santanu excited with wrath, began to slaughter the troops of the high-souled Pandavas with the son of Santanu straight shafts.",Bhishma excited,slaughter,troops of high souled Pandavas,,,
"And Bhishma the son of Santanu excited with wrath, began to slaughter the troops of the high-souled Pandavas with the son of Santanu straight shafts.",Bhishma excited,slaughter,troops of Pandavas,,,
"And Bhishma the son of Santanu excited with wrath, began to slaughter the troops of the high-souled Pandavas with the son of Santanu straight shafts.",Bhishma excited,slaughter,troops of souled Pandavas,,,
"And Bhishma the son of Santanu excited with wrath, began to slaughter the troops of the high-souled Pandavas with the son of Santanu straight shafts.",Bhishma,slaughter troops with,son of Santanu straight shafts,,,
"And Bhishma the son of Santanu excited with wrath, began to slaughter the troops of the high-souled Pandavas with the son of Santanu straight shafts.",Bhishma,slaughter,troops of souled Pandavas,,,
"And Bhishma the son of Santanu excited with wrath, began to slaughter the troops of the high-souled Pandavas with the son of Santanu straight shafts.",Bhishma,slaughter,troops of Pandavas,,,
"And Bhishma the son of Santanu excited with wrath, began to slaughter the troops of the high-souled Pandavas with the son of Santanu straight shafts.",Bhishma excited,slaughter with,son of Santanu shafts,,,
"And Bhishma the son of Santanu excited with wrath, began to slaughter the troops of the high-souled Pandavas with the son of Santanu straight shafts.",Bhishma excited,slaughter troops with,son of Santanu shafts,,,
"And Bhishma the son of Santanu excited with wrath, began to slaughter the troops of the high-souled Pandavas with the son of Santanu straight shafts.",Bhishma excited,slaughter troops with,son of Santanu straight shafts,,,
"And Bhishma the son of Santanu excited with wrath, began to slaughter the troops of the high-souled Pandavas with the son of Santanu straight shafts.",Bhishma excited,slaughter with,son of Santanu straight shafts,,,
"And Bhishma the son of Santanu excited with wrath, began to slaughter the troops of the high-souled Pandavas with the son of Santanu straight shafts.",Bhishma,slaughter with,son of Santanu shafts,,,
"And Bhishma the son of Santanu excited with wrath, began to slaughter the troops of the high-souled Pandavas with the son of Santanu straight shafts.",Bhishma,slaughter with,son of Santanu straight shafts,,,
"And Bhishma the son of Santanu excited with wrath, began to slaughter the troops of the high-souled Pandavas with the son of Santanu straight shafts.",Bhishma,slaughter troops with,son of Santanu shafts,,,
"""Meanwhile, Bharadwaja's son pierced with Bharadwaja's son winged arrows the king of the Matsyas in battle.",Bharadwaja 's son,pierced with,Bharadwaja 's son,,,
"Beholding his standard overthrown, king Srutayush then, O monarch, pierced the son of Pandu with seven sharp shafts.",king Srutayush,pierced,son of Pandu,,,
"""The mighty Dhrishtaketu, excited with wrath, speedily pierced the son of Somadatta, O king, with ninety shafts in the chest.",Dhrishtaketu,pierced,son of Somadatta,,,
"""The mighty Dhrishtaketu, excited with wrath, speedily pierced the son of Somadatta, O king, with ninety shafts in the chest.",mighty Dhrishtaketu,pierced,son of Somadatta,,,
"""The mighty Dhrishtaketu, excited with wrath, speedily pierced the son of Somadatta, O king, with ninety shafts in the chest.",Dhrishtaketu excited,pierced,son of Somadatta,,,
"""The mighty Dhrishtaketu, excited with wrath, speedily pierced the son of Somadatta, O king, with ninety shafts in the chest.",mighty Dhrishtaketu excited,pierced,son of Somadatta,,,
"Though thus slaughtered by Bhishma, the Panchalas along with the Somakas still rushed impetuously at the Panchalas along with the Somakas, forsaking the fear of death.",Panchalas,slaughtered by,Bhishma,,,
"And Panditaka also, in battle, pierced Panditaka with three arrows.",Panditaka,also pierced,Panditaka,,,
"And Panditaka also, in battle, pierced Panditaka with three arrows.",Panditaka,pierced,Panditaka,,,
"Then the mighty Prativindhya quickly pierced the Rakshasa with whetted shafts, sharp as battle-axes and furnished with points capable of penetrating every armour.",mighty Prativindhya,pierced,Rakshasa,,,
"Then the mighty Prativindhya quickly pierced the Rakshasa with whetted shafts, sharp as battle-axes and furnished with points capable of penetrating every armour.",Prativindhya,pierced,Rakshasa,,,
"Then Abhimanyu, O king, pierced Rishyasringa's son in that battle with three sharp shafts and once more with five.",Abhimanyu,pierced,Rishyasringa 's son,,,
"Gautama in return, excited with wrath, quickly pierced him of Madhu's race in the chest with nine arrows winged with the feathers of the Kanka bird.",Gautama,pierced of,Madhu 's race in chest with nine arrows winged with feathers of Kanka bird,,,
"Gautama in return, excited with wrath, quickly pierced him of Madhu's race in the chest with nine arrows winged with the feathers of the Kanka bird.",Gautama,pierced of,Madhu 's race with nine arrows winged with feathers,,,
"Gautama in return, excited with wrath, quickly pierced him of Madhu's race in the chest with nine arrows winged with the feathers of the Kanka bird.",Gautama,pierced of,Madhu 's race in chest with nine arrows winged,,,
"Gautama in return, excited with wrath, quickly pierced him of Madhu's race in the chest with nine arrows winged with the feathers of the Kanka bird.",Gautama,pierced of,Madhu 's race,,,
"Gautama in return, excited with wrath, quickly pierced him of Madhu's race in the chest with nine arrows winged with the feathers of the Kanka bird.",Gautama,pierced of,Madhu 's race in chest,,,
"Gautama in return, excited with wrath, quickly pierced him of Madhu's race in the chest with nine arrows winged with the feathers of the Kanka bird.",Gautama,pierced of,Madhu 's race with nine arrows winged with feathers of Kanka bird,,,
"Gautama in return, excited with wrath, quickly pierced him of Madhu's race in the chest with nine arrows winged with the feathers of the Kanka bird.",Gautama,pierced of,Madhu 's race with nine arrows winged,,,
"Gautama in return, excited with wrath, quickly pierced him of Madhu's race in the chest with nine arrows winged with the feathers of the Kanka bird.",Gautama,pierced of,Madhu 's race in chest with nine arrows winged with feathers,,,
"Gautama in return, excited with wrath, quickly pierced him of Madhu's race in the chest with nine arrows winged with the feathers of the Kanka bird.",Gautama,pierced of,Madhu 's race in chest with nine arrows,,,
"Gautama in return, excited with wrath, quickly pierced him of Madhu's race in the chest with nine arrows winged with the feathers of the Kanka bird.",Gautama,pierced of,Madhu 's race with nine arrows,,,
"In that battle, O Bharata, Partha pierced Drona with three shafts.",Partha,pierced,Drona,,,
"And Drupada pierced Bhishma with five and twenty shafts, and Virata pierced Bhishma with ten, and Sikhandin with five and twenty.",Virata,pierced,Bhishma,,,
"And Drupada pierced Bhishma with five and twenty shafts, and Virata pierced Bhishma with ten, and Sikhandin with five and twenty.",Drupada,pierced,Bhishma,,,
"Susarman however, in that battle, pierced Partha with Partha shafts.",Susarman,however pierced with,Partha shafts,,,
"Susarman however, in that battle, pierced Partha with Partha shafts.",Susarman,however pierced Partha with,Partha shafts,,,
"Susarman however, in that battle, pierced Partha with Partha shafts.",Susarman,however pierced,Partha,,,
"Susarman however, in that battle, pierced Partha with Partha shafts.",Susarman,pierced Partha with,Partha shafts,,,
"Susarman however, in that battle, pierced Partha with Partha shafts.",Susarman,pierced,Partha,,,
"Susarman however, in that battle, pierced Partha with Partha shafts.",Susarman,pierced with,Partha shafts,,,
"Bhimasena also, having pierced Bhimasena great grandsire king Valhika uttered a loud roar like a tiger in the forest.",Bhimasena,having pierced,Bhimasena grandsire king Valhika,,,
"Bhimasena also, having pierced Bhimasena great grandsire king Valhika uttered a loud roar like a tiger in the forest.",Bhimasena,having pierced,Bhimasena great grandsire king Valhika,,,
"Arjuna's son (Abhimanyu) pierced by Chitrasena with many shafts, deeply pierced Chitrasena in the chest with three arrows.",Arjuna 's son,pierced with,deeply pierced Chitrasena in chest,,,
"And having pierced Nakula with three shafts, Nakula pierced Sahadeva with seven.",Nakula,pierced,Sahadeva,,,
"And Dhrishtadyumna pierced Dhrishtadyumna with seventy shafts, and Bhimasena with seven.",Dhrishtadyumna,pierced,Dhrishtadyumna,,,
"Drona (on the other hand), having pierced Satyaki, pierced Bhimasena next.",Drona,having pierced,Satyaki,,,
"Then king Yudhishthira, seeing that twilight had come and that king Yudhishthira own troops, slaughtered by Bhishma, had thrown aside his own troops, slaughtered by Bhishma weapons, and that stricken with fear, and turned off the field, his own troops, slaughtered by Bhishma were seeking to flee away, and beholding Bhishma also, that mighty car-warrior, excited with wrath and afflicting everybody in fight, and noticing that the mighty car-warriors of the Somakas, having been vanquished, had all become cheerless, reflected a little, and then ordered the troops to be withdrawn.",king Yudhishthira own troops,slaughtered by,Bhishma,,,
"Then king Yudhishthira, seeing that twilight had come and that king Yudhishthira own troops, slaughtered by Bhishma, had thrown aside his own troops, slaughtered by Bhishma weapons, and that stricken with fear, and turned off the field, his own troops, slaughtered by Bhishma were seeking to flee away, and beholding Bhishma also, that mighty car-warrior, excited with wrath and afflicting everybody in fight, and noticing that the mighty car-warriors of the Somakas, having been vanquished, had all become cheerless, reflected a little, and then ordered the troops to be withdrawn.",king Yudhishthira troops,slaughtered by,Bhishma,,,
"Challenging that bull among men, viz., Bhishma, I will slay Bhishma in battle, in the very sight of the Dhartarashtras, if Phalguni doth not wish to slay Bhishma.",Phalguni doth,slay,Bhishma,,,
"And Dussasana, O king, in that battle pierced the son of Pandu with three shafts and Vasudeva with twenty.",Dussasana,pierced,son of Pandu,,,
"Then Dussasana, excited with wrath, pierced Partha with five shafts.",Dussasana,pierced,Partha,,,
"Then Dussasana, excited with wrath, pierced Partha with five shafts.",Dussasana excited,pierced,Partha,,,
"Then that mighty-aimed Rakshasa pierced Satyaki, of prowess incapable of being baffled, with many sharp arrows, and uttered a loud shout.",aimed Rakshasa,pierced,Satyaki with many sharp arrows,,,
"Then that mighty-aimed Rakshasa pierced Satyaki, of prowess incapable of being baffled, with many sharp arrows, and uttered a loud shout.",Rakshasa,pierced,Satyaki with many sharp arrows,,,
"Then that mighty-aimed Rakshasa pierced Satyaki, of prowess incapable of being baffled, with many sharp arrows, and uttered a loud shout.",aimed Rakshasa,pierced,Satyaki with sharp arrows,,,
"Then that mighty-aimed Rakshasa pierced Satyaki, of prowess incapable of being baffled, with many sharp arrows, and uttered a loud shout.",Rakshasa,pierced,Satyaki with sharp arrows,,,
And Drupada also pierced Drupada with three sharp shafts.,Drupada,also pierced,Drupada,,,
And Drupada also pierced Drupada with three sharp shafts.,Drupada,pierced,Drupada,,,
"And cutting off his bow, Sahadeva then pierced Kripa with nine arrows.",Sahadeva,pierced,Kripa,,,
"The heroic Durmukha then, shouting cheerfully, pierced Bhimasena's son on the field of battle with sixty shafts of keen points.",Durmukha,pierced,Bhimasena 's son,,,
"The heroic Durmukha then, shouting cheerfully, pierced Bhimasena's son on the field of battle with sixty shafts of keen points.",heroic Durmukha,pierced,Bhimasena 's son,,,
"The brave Pandava, that slayer of hostile heroes, pierced Salya with seven arrows, and Kritavarman with eight.",Pandava,pierced,Salya,,,
Bhima then pierced each of Bhima in return with five arrows.,Bhima,pierced,each of Bhima,,,
Bhima then pierced each of Bhima in return with five arrows.,Bhima,pierced,each Bhima,,,
And Salya then pierced Salya with nine arrows and once more with five.,Salya,pierced,Salya,,,
"Bhima, however, in that battle, having pierced Salya with nine arrows made wholly of iron, and Bhagadatta with three, and Kritavarman with eight, pierced each of the others with Gautama at their head, with two arrows.",Bhima,having pierced,Salya,,,
"Bhima, however, in that battle, having pierced Salya with nine arrows made wholly of iron, and Bhagadatta with three, and Kritavarman with eight, pierced each of the others with Gautama at their head, with two arrows.",Bhima,however having pierced,Salya,,,
"Bhima, however, in that battle, having pierced Salya with nine arrows made wholly of iron, and Bhagadatta with three, and Kritavarman with eight, pierced each of the others with Gautama at their head, with two arrows.",Bhima,pierced with,Gautama,,,
"Jayadratha, staying on the car of Chitrasena, pierced Partha (in return), O Bharata, and then, without loss of time, Bhima also, with Bhima shafts.",Jayadratha,pierced,O Bharata,,,
"Jayadratha, staying on the car of Chitrasena, pierced Partha (in return), O Bharata, and then, without loss of time, Bhima also, with Bhima shafts.",Jayadratha,pierced,Partha,,,
"Susarman (in return) pierced Partha with nine swift arrows, and uttered a loud shout frightening the vast host (of the Pandavas).",Susarman,pierced,Partha,,,
"Jayatsena (the king of the Magadhas) then, O bull of Bharata's race pierced Bhima, that wielder of awful weapons in battle, with eight sharp arrows.",Jayatsena,pierced,Bhima,,,
"Bhima, however, pierced Bhima (in return) with ten arrows, and once more with five.",Bhima,pierced,Bhima,,,
"Bhima, however, pierced Bhima (in return) with ten arrows, and once more with five.",Bhima,however pierced,Bhima,,,
"Meanwhile Drona, noticing an opening, pierced Bhimasena, O bull of Bharata's race, with eight keen shafts furnished with heads shaped after the frog's mouth.",Drona,pierced,Bhimasena,,,
"Beholding that dart of his drop down on the earth, Arjuna's wrathful son pierced Duryodhana with three shafts in Arjuna's wrathful son arms and chest.",Arjuna 's wrathful son,pierced with,three shafts in Arjuna 's son arms,,,
"Beholding that dart of his drop down on the earth, Arjuna's wrathful son pierced Duryodhana with three shafts in Arjuna's wrathful son arms and chest.",Arjuna 's wrathful son,pierced,Duryodhana,,,
"Beholding that dart of his drop down on the earth, Arjuna's wrathful son pierced Duryodhana with three shafts in Arjuna's wrathful son arms and chest.",Arjuna 's son,pierced with,three shafts in Arjuna 's wrathful son arms,,,
"Beholding that dart of his drop down on the earth, Arjuna's wrathful son pierced Duryodhana with three shafts in Arjuna's wrathful son arms and chest.",Arjuna 's son,pierced Duryodhana with,three shafts in Arjuna 's son arms,,,
"Beholding that dart of his drop down on the earth, Arjuna's wrathful son pierced Duryodhana with three shafts in Arjuna's wrathful son arms and chest.",Arjuna 's wrathful son,pierced Duryodhana with,three shafts in Arjuna 's son arms,,,
"Beholding that dart of his drop down on the earth, Arjuna's wrathful son pierced Duryodhana with three shafts in Arjuna's wrathful son arms and chest.",Arjuna 's son,pierced Duryodhana with,three shafts in Arjuna 's wrathful son arms,,,
"Beholding that dart of his drop down on the earth, Arjuna's wrathful son pierced Duryodhana with three shafts in Arjuna's wrathful son arms and chest.",Arjuna 's wrathful son,pierced with,three shafts in Arjuna 's wrathful son arms,,,
"Beholding that dart of his drop down on the earth, Arjuna's wrathful son pierced Duryodhana with three shafts in Arjuna's wrathful son arms and chest.",Arjuna 's son,pierced with,three shafts in Arjuna 's son arms,,,
"Beholding that dart of his drop down on the earth, Arjuna's wrathful son pierced Duryodhana with three shafts in Arjuna's wrathful son arms and chest.",Arjuna 's son,pierced,Duryodhana,,,
"Beholding that dart of his drop down on the earth, Arjuna's wrathful son pierced Duryodhana with three shafts in Arjuna's wrathful son arms and chest.",Arjuna 's wrathful son,pierced Duryodhana with,three shafts in Arjuna 's wrathful son arms,,,
"Then the mighty car-warrior Paurava cut off Dhrishtaketu's bow, and uttering a loud shout, pierced the mighty car-warrior Paurava with whetted shafts.",mighty car warrior Paurava,pierced,car warrior Paurava,,,
"Then the mighty car-warrior Paurava cut off Dhrishtaketu's bow, and uttering a loud shout, pierced the mighty car-warrior Paurava with whetted shafts.",mighty car warrior Paurava,pierced,mighty car warrior Paurava,,,
"Susarman, however, pierced Chitrasena again in return.",Susarman,pierced again,Chitrasena,,,
"Susarman, however, pierced Chitrasena again in return.",Susarman,pierced,Chitrasena,,,
"Susarman, however, pierced Chitrasena again in return.",Susarman,however pierced again,Chitrasena,,,
"Susarman, however, pierced Chitrasena again in return.",Susarman,however pierced,Chitrasena,,,
"And the valiant Bhishma, having slain Satanika in battle, felled, O king, full one thousand Kshatriyas with his broad-headed shafts.",Bhishma,having slain,Satanika,,,
"And the valiant Bhishma, having slain Satanika in battle, felled, O king, full one thousand Kshatriyas with his broad-headed shafts.",valiant Bhishma,having slain,Satanika,,,
"Then Vibhatsu, drawing Vibhatsu bow Gandiva with a laugh, pierced the son of Ganga with five and twenty arrows.",Vibhatsu,pierced,son of Ganga,,,
"While Bhishma was thus speaking to Dussasana, Phalguni with sharp shafts, and placing Sikhandin to the fore, pierced Bhishma in that battle.",Phalguni,pierced,While Bhishma was speaking to Dussasana,,,
"While Bhishma was thus speaking to Dussasana, Phalguni with sharp shafts, and placing Sikhandin to the fore, pierced Bhishma in that battle.",Phalguni,pierced Bhishma,While Bhishma was speaking,,,
"While Bhishma was thus speaking to Dussasana, Phalguni with sharp shafts, and placing Sikhandin to the fore, pierced Bhishma in that battle.",Phalguni,pierced Bhishma,Bhishma was thus speaking,,,
"While Bhishma was thus speaking to Dussasana, Phalguni with sharp shafts, and placing Sikhandin to the fore, pierced Bhishma in that battle.",Phalguni,pierced,Bhishma was speaking to Dussasana,,,
"While Bhishma was thus speaking to Dussasana, Phalguni with sharp shafts, and placing Sikhandin to the fore, pierced Bhishma in that battle.",Phalguni,pierced,While Bhishma was thus speaking to Dussasana,,,
"While Bhishma was thus speaking to Dussasana, Phalguni with sharp shafts, and placing Sikhandin to the fore, pierced Bhishma in that battle.",Phalguni,pierced,Bhishma was speaking,,,
"While Bhishma was thus speaking to Dussasana, Phalguni with sharp shafts, and placing Sikhandin to the fore, pierced Bhishma in that battle.",Phalguni,pierced Bhishma,While Bhishma was speaking to Dussasana,,,
"While Bhishma was thus speaking to Dussasana, Phalguni with sharp shafts, and placing Sikhandin to the fore, pierced Bhishma in that battle.",Phalguni,pierced,While Bhishma was thus speaking,,,
"While Bhishma was thus speaking to Dussasana, Phalguni with sharp shafts, and placing Sikhandin to the fore, pierced Bhishma in that battle.",Phalguni,pierced,While Bhishma was speaking,,,
"While Bhishma was thus speaking to Dussasana, Phalguni with sharp shafts, and placing Sikhandin to the fore, pierced Bhishma in that battle.",Phalguni,pierced Bhishma,While Bhishma was thus speaking,,,
