,document,subject,relation,object
16,"And when the (assembled) kings were each being mentioned by
name, Bhishma chose those maidens (on behalf of his brother).",assembled kings,were,were mentioned by name
17,"And when the (assembled) kings were each being mentioned by
name, Bhishma chose those maidens (on behalf of his brother).",kings,were,were mentioned by name
18,"And when the (assembled) kings were each being mentioned by
name, Bhishma chose those maidens (on behalf of his brother).",Bhishma,chose,maidens
19,"And when the (assembled) kings were each being mentioned by
name, Bhishma chose those maidens (on behalf of his brother).",Bhishma,chose maidens on,his brother
20,"And when the (assembled) kings were each being mentioned by
name, Bhishma chose those maidens (on behalf of his brother).",kings,were,when were mentioned by name
21,"And when the (assembled) kings were each being mentioned by
name, Bhishma chose those maidens (on behalf of his brother).",assembled kings,were,when were mentioned by name
22,"And when the (assembled) kings were each being mentioned by
name, Bhishma chose those maidens (on behalf of his brother).",Bhishma,chose on,his brother
23,"And taking
them upon his chariot, Bhishma, that first of smiters in battle,
addressed the kings, O monarch, and said in a voice deep as the roar of
the clouds, 'The wise have directed that when an accomplished person has
been invited, a maiden may be bestowed on him, decked with ornaments and
along with many valuable presents.",his,chariot,Bhishma
24,"And taking
them upon his chariot, Bhishma, that first of smiters in battle,
addressed the kings, O monarch, and said in a voice deep as the roar of
the clouds, 'The wise have directed that when an accomplished person has
been invited, a maiden may be bestowed on him, decked with ornaments and
along with many valuable presents.",kings,said deep in,voice
25,"And taking
them upon his chariot, Bhishma, that first of smiters in battle,
addressed the kings, O monarch, and said in a voice deep as the roar of
the clouds, 'The wise have directed that when an accomplished person has
been invited, a maiden may be bestowed on him, decked with ornaments and
along with many valuable presents.",smiters,is in,battle
26,"And taking
them upon his chariot, Bhishma, that first of smiters in battle,
addressed the kings, O monarch, and said in a voice deep as the roar of
the clouds, 'The wise have directed that when an accomplished person has
been invited, a maiden may be bestowed on him, decked with ornaments and
along with many valuable presents.",kings,said in,voice
27,"Others again may bestow their
daughters by accepting a couple of kine.",Others,may bestow by,accepting
28,"Others again may bestow their
daughters by accepting a couple of kine.",Others,may bestow,their daughters
29,"Others again may bestow their
daughters by accepting a couple of kine.",Others,again may bestow,their daughters
30,"Others again may bestow their
daughters by accepting a couple of kine.",Others,again may bestow by,accepting
31,"Some again bestow their
daughters by taking a fixed sum, and some take away maidens by force.",Some,bestow,their daughters
32,"Some again bestow their
daughters by taking a fixed sum, and some take away maidens by force.",some,take,maidens
33,"Some again bestow their
daughters by taking a fixed sum, and some take away maidens by force.",some,take away by,force
34,"Some again bestow their
daughters by taking a fixed sum, and some take away maidens by force.",some,take away maidens by,force
35,"Some again bestow their
daughters by taking a fixed sum, and some take away maidens by force.",Some,again bestow,their daughters
36,"Some again bestow their
daughters by taking a fixed sum, and some take away maidens by force.",some,take maidens by,force
37,"Some again bestow their
daughters by taking a fixed sum, and some take away maidens by force.",some,take away,maidens
38,"Some again bestow their
daughters by taking a fixed sum, and some take away maidens by force.",some,take by,force
39,"Some wed with the consent of the maidens, some by drugging them into
consent, and some by going unto the maidens' parents and obtaining their
sanction.",Some,wed with,consent
40,"Some wed with the consent of the maidens, some by drugging them into
consent, and some by going unto the maidens' parents and obtaining their
sanction.",Some,wed with,consent of maidens
41,"Some again obtain wives as presents for assisting at
sacrifices.",Some,again obtain as,presents for assisting
42,"Some again obtain wives as presents for assisting at
sacrifices.",Some,again obtain wives as,presents for assisting at sacrifices
43,"Some again obtain wives as presents for assisting at
sacrifices.",Some,obtain wives as,presents for assisting
44,"Some again obtain wives as presents for assisting at
sacrifices.",Some,obtain wives as,presents for assisting at sacrifices
45,"Some again obtain wives as presents for assisting at
sacrifices.",Some,obtain as,presents for assisting at sacrifices
46,"Some again obtain wives as presents for assisting at
sacrifices.",Some,obtain,wives
47,"Some again obtain wives as presents for assisting at
sacrifices.",Some,again obtain as,presents for assisting at sacrifices
48,"Some again obtain wives as presents for assisting at
sacrifices.",Some,obtain as,presents for assisting
49,"Some again obtain wives as presents for assisting at
sacrifices.",Some,again obtain,wives
50,"Some again obtain wives as presents for assisting at
sacrifices.",Some,again obtain wives as,presents for assisting
51,"Kings, however, speak highly of the Swyamvara (the fifth form
as above) and themselves wed according to it.",Kings,however speak of,Swyamvara
52,"Kings, however, speak highly of the Swyamvara (the fifth form
as above) and themselves wed according to it.",Kings,however speak highly of,Swyamvara
53,"Kings, however, speak highly of the Swyamvara (the fifth form
as above) and themselves wed according to it.",Kings,speak of,Swyamvara
54,"Kings, however, speak highly of the Swyamvara (the fifth form
as above) and themselves wed according to it.",Kings,speak highly of,Swyamvara
55,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,bear away by,hence force
56,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,bear away,maidens
57,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,bear by,hence force
58,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,Therefore bear by,force
59,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,Therefore bear maidens by,force
60,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,bear away by,force
61,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,Therefore bear maidens by,force
62,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,Therefore bear maidens by,hence force
63,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,Therefore bear away by,force
64,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,Therefore bear by,hence force
65,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,bear by,force
66,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,bear by,hence force
67,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,bear away maidens by,force
68,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,Therefore bear away by,force
69,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,bear away maidens by,force
70,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,bear maidens by,hence force
71,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,Therefore bear,maidens
72,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,Therefore bear by,force
73,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,bear away maidens by,hence force
74,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,Therefore bear by,hence force
75,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,Therefore bear away maidens by,force
76,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,Therefore bear away maidens by,hence force
77,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,Therefore bear away,maidens
78,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,Therefore bear away maidens by,hence force
79,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,bear,maidens
80,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,Therefore bear away,maidens
81,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,Therefore bear,maidens
82,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,Therefore bear away by,hence force
83,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,Therefore bear away maidens by,force
84,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,Therefore bear maidens by,hence force
85,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,bear maidens by,force
86,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,bear maidens by,hence force
87,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,bear maidens by,force
88,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,bear by,force
89,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,bear away by,force
90,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,bear away by,hence force
91,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,bear away,maidens
92,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,bear,maidens
93,"Therefore, ye monarchs, I bear
away these maidens hence by force.",monarchs,bear away maidens by,hence force
94,"Therefore, ye monarchs, I bear
away these maidens hence by force.",I,Therefore bear away by,hence force
95,"Ye monarchs, I stand here resolved to
fight!'",Ye monarchs,stand,resolved
96,"Ye monarchs, I stand here resolved to
fight!'",I,stand here,fight
97,"Ye monarchs, I stand here resolved to
fight!'",I,stand,to fight
98,"Ye monarchs, I stand here resolved to
fight!'",Ye monarchs,stand here,to fight
99,"Ye monarchs, I stand here resolved to
fight!'",I,stand here,to fight
100,"Ye monarchs, I stand here resolved to
fight!'",Ye monarchs,stand here,resolved
101,"Ye monarchs, I stand here resolved to
fight!'",Ye monarchs,stand here,fight
102,"Ye monarchs, I stand here resolved to
fight!'",I,stand,resolved
103,"Ye monarchs, I stand here resolved to
fight!'",Ye monarchs,stand,to fight
104,"Ye monarchs, I stand here resolved to
fight!'",Ye monarchs,stand,fight
105,"Ye monarchs, I stand here resolved to
fight!'",I,stand here,resolved
106,"Ye monarchs, I stand here resolved to
fight!'",I,stand,fight
107,"Kuru prince, endued with great energy, thus addressing the
assembled monarchs and the king of Kasi, took upon his car those maidens.",Kuru prince endued,took upon,his car
108,"Kuru prince, endued with great energy, thus addressing the
assembled monarchs and the king of Kasi, took upon his car those maidens.",Kuru prince,took,maidens
109,"Kuru prince, endued with great energy, thus addressing the
assembled monarchs and the king of Kasi, took upon his car those maidens.",Kuru prince endued,took,maidens
110,"Kuru prince, endued with great energy, thus addressing the
assembled monarchs and the king of Kasi, took upon his car those maidens.",Kuru prince,took maidens upon,his car
111,"Kuru prince, endued with great energy, thus addressing the
assembled monarchs and the king of Kasi, took upon his car those maidens.",Kuru prince endued,took maidens upon,his car
112,"Kuru prince, endued with great energy, thus addressing the
assembled monarchs and the king of Kasi, took upon his car those maidens.",Kuru prince,took upon,his car
113,"And having taken them up, he sped his chariot away, challenging the
invited kings to a fight.",he,challenging to,fight
114,"And having taken them up, he sped his chariot away, challenging the
invited kings to a fight.",he,challenging kings to,fight
115,"And having taken them up, he sped his chariot away, challenging the
invited kings to a fight.",he,challenging,invited kings
116,"And having taken them up, he sped his chariot away, challenging the
invited kings to a fight.",he,challenging,kings
117,"And having taken them up, he sped his chariot away, challenging the
invited kings to a fight.",he,sped,his chariot
118,"And having taken them up, he sped his chariot away, challenging the
invited kings to a fight.",he,sped away,his chariot
119,"""The challenged monarchs then all stood up, slapping their arms and
biting their nether lips in wrath.",monarchs,biting,their lips
120,"""The challenged monarchs then all stood up, slapping their arms and
biting their nether lips in wrath.",challenged monarchs,biting,their lips
121,"""The challenged monarchs then all stood up, slapping their arms and
biting their nether lips in wrath.",monarchs,biting,their nether lips
122,"""The challenged monarchs then all stood up, slapping their arms and
biting their nether lips in wrath.",monarchs,slapping,their arms
123,"""The challenged monarchs then all stood up, slapping their arms and
biting their nether lips in wrath.",challenged monarchs,biting,their nether lips
124,"""The challenged monarchs then all stood up, slapping their arms and
biting their nether lips in wrath.",challenged monarchs,biting in,wrath
125,"""The challenged monarchs then all stood up, slapping their arms and
biting their nether lips in wrath.",challenged monarchs,slapping,their arms
126,"""The challenged monarchs then all stood up, slapping their arms and
biting their nether lips in wrath.",monarchs,biting in,wrath
127,"And loud was the din produced, as, in
a great hurry, they began to cast off their ornaments and put on their
armour.",din,was,produced
128,"And loud was the din produced, as, in
a great hurry, they began to cast off their ornaments and put on their
armour.",they,cast off,their ornaments
129,"And loud was the din produced, as, in
a great hurry, they began to cast off their ornaments and put on their
armour.",their ornaments,put on,their armour
130,"And loud was the din produced, as, in
a great hurry, they began to cast off their ornaments and put on their
armour.",loud,was,produced
131,"And the motion of their ornaments and armour, O Janamejaya,
brilliant as these were, resembled meteoric flashes in the sky.",meteoric flashes,is in,sky
132,"And with
brows contracted and eyes red with rage, the monarchs moved in
impatience, their armour and ornaments dazzling or waving with their
agitated steps.",their armour,dazzling,monarchs moved
133,"And with
brows contracted and eyes red with rage, the monarchs moved in
impatience, their armour and ornaments dazzling or waving with their
agitated steps.",ornaments,dazzling,monarchs moved in impatience
134,"And with
brows contracted and eyes red with rage, the monarchs moved in
impatience, their armour and ornaments dazzling or waving with their
agitated steps.",their armour,dazzling,monarchs moved in impatience
135,"And with
brows contracted and eyes red with rage, the monarchs moved in
impatience, their armour and ornaments dazzling or waving with their
agitated steps.",their armour,dazzling,with monarchs moved
136,"And with
brows contracted and eyes red with rage, the monarchs moved in
impatience, their armour and ornaments dazzling or waving with their
agitated steps.",monarchs,moved in,impatience
137,"And with
brows contracted and eyes red with rage, the monarchs moved in
impatience, their armour and ornaments dazzling or waving with their
agitated steps.",ornaments,dazzling,monarchs moved
138,"And with
brows contracted and eyes red with rage, the monarchs moved in
impatience, their armour and ornaments dazzling or waving with their
agitated steps.",their armour,dazzling,with monarchs moved in impatience
139,"And with
brows contracted and eyes red with rage, the monarchs moved in
impatience, their armour and ornaments dazzling or waving with their
agitated steps.",ornaments,dazzling,with monarchs moved in impatience
140,"And with
brows contracted and eyes red with rage, the monarchs moved in
impatience, their armour and ornaments dazzling or waving with their
agitated steps.",ornaments,dazzling,with monarchs moved
141,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,brought with,horses harnessed thereto
142,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,brought with,horses harnessed
143,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,soon brought cars with,horses harnessed
144,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,soon brought with,fine horses
145,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,soon brought cars with,fine horses harnessed
146,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,brought with,fine horses harnessed
147,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,brought with,horses
148,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,brought cars with,fine horses
149,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,brought cars with,fine horses harnessed thereto
150,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,brought cars with,horses harnessed
151,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,soon brought with,horses
152,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,brought with,fine horses harnessed thereto
153,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,brought,handsome cars
154,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,soon brought with,horses harnessed
155,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,soon brought,handsome cars
156,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,soon brought cars with,fine horses harnessed thereto
157,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,soon brought cars with,horses harnessed thereto
158,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,soon brought,cars
159,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,brought with,fine horses
160,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,soon brought with,horses harnessed thereto
161,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,brought cars with,horses harnessed thereto
162,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,soon brought cars with,horses
163,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,soon brought with,fine horses harnessed
164,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,brought cars with,horses
165,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,soon brought cars with,fine horses
166,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,soon brought with,fine horses harnessed thereto
167,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,brought,cars
168,"The charioteers soon brought handsome cars with fine
horses harnessed thereto.",charioteers,brought cars with,fine horses harnessed
169,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",splendid warriors,equipped with,kinds of weapons
170,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",splendid warriors,pursued chief with,weapons
171,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",warriors,pursued with,uplifted weapons
172,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",warriors,pursued with,weapons
173,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",warriors,pursued,chief of Kurus
174,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",splendid warriors,pursued with,uplifted weapons
175,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",splendid warriors,pursued,chief
176,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",splendid warriors,pursued,retreating chief
177,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",splendid warriors,pursued with,weapons
178,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",warriors,pursued,retreating chief of Kurus
179,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",splendid warriors,pursued,retreating chief of Kurus
180,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",splendid warriors,rode on,cars
181,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",splendid warriors,pursued chief with,uplifted weapons
182,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",warriors,pursued chief with,weapons
183,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",warriors,pursued chief with,uplifted weapons
184,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",splendid warriors,pursued,chief of Kurus
185,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",warriors,pursued,retreating chief
186,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",warriors,pursued,chief
187,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",warriors,rode on,cars
188,"Those splendid warriors then, equipped with all
kinds of weapons, rode on those cars, and with uplifted weapons pursued
the retreating chief of the Kurus.",warriors,equipped with,kinds of weapons
189,"Then, O Bharata, occurred the terrible
encounter between those innumerable monarchs on one side and the Kuru
warrior alone on the other.",Bharata,occurred,terrible encounter on one side
190,"Then, O Bharata, occurred the terrible
encounter between those innumerable monarchs on one side and the Kuru
warrior alone on the other.",Bharata,occurred,encounter between monarchs on one side
191,"Then, O Bharata, occurred the terrible
encounter between those innumerable monarchs on one side and the Kuru
warrior alone on the other.",Bharata,occurred,encounter between innumerable monarchs
192,"Then, O Bharata, occurred the terrible
encounter between those innumerable monarchs on one side and the Kuru
warrior alone on the other.",Bharata,occurred,terrible encounter between innumerable monarchs on one side
193,"Then, O Bharata, occurred the terrible
encounter between those innumerable monarchs on one side and the Kuru
warrior alone on the other.",Bharata,occurred,encounter on one side
194,"Then, O Bharata, occurred the terrible
encounter between those innumerable monarchs on one side and the Kuru
warrior alone on the other.",Bharata,occurred,encounter between monarchs
195,"Then, O Bharata, occurred the terrible
encounter between those innumerable monarchs on one side and the Kuru
warrior alone on the other.",Bharata,occurred,terrible encounter between monarchs
196,"Then, O Bharata, occurred the terrible
encounter between those innumerable monarchs on one side and the Kuru
warrior alone on the other.",Bharata,occurred,encounter between innumerable monarchs on one side
197,"Then, O Bharata, occurred the terrible
encounter between those innumerable monarchs on one side and the Kuru
warrior alone on the other.",Bharata,occurred,terrible encounter between monarchs on one side
198,"Then, O Bharata, occurred the terrible
encounter between those innumerable monarchs on one side and the Kuru
warrior alone on the other.",Bharata,occurred,terrible encounter
199,"Then, O Bharata, occurred the terrible
encounter between those innumerable monarchs on one side and the Kuru
warrior alone on the other.",Bharata,occurred,encounter
200,"Then, O Bharata, occurred the terrible
encounter between those innumerable monarchs on one side and the Kuru
warrior alone on the other.",Bharata,occurred,terrible encounter between innumerable monarchs
201,"And the assembled monarchs threw at their foe
ten thousand arrows at the same time.",monarchs,threw at,their foe
202,"And the assembled monarchs threw at their foe
ten thousand arrows at the same time.",assembled monarchs,threw at,same time
203,"And the assembled monarchs threw at their foe
ten thousand arrows at the same time.",assembled monarchs,threw at,time
204,"And the assembled monarchs threw at their foe
ten thousand arrows at the same time.",assembled monarchs,threw,ten thousand arrows
205,"And the assembled monarchs threw at their foe
ten thousand arrows at the same time.",assembled monarchs,threw at,their foe
206,"And the assembled monarchs threw at their foe
ten thousand arrows at the same time.",monarchs,threw,ten thousand arrows
207,"And the assembled monarchs threw at their foe
ten thousand arrows at the same time.",monarchs,threw at,time
208,"And the assembled monarchs threw at their foe
ten thousand arrows at the same time.",monarchs,threw at,same time
209,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,speedily checked,before they could come
210,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,speedily checked,they could come
211,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,checked arrows,they could come
212,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,speedily checked,numberless arrows
213,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,checked,before they could come
214,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,checked arrows,before they could come at him
215,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",they,could come by,shower of his arrows innumerable
216,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,speedily checked arrows,they could come at him
217,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,however checked arrows,they could come
218,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",they,could come by,shower of his own arrows
219,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,however speedily checked,numberless arrows
220,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,however checked,before they could come
221,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",they,could come by,shower of his own arrows innumerable as down on body
222,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",they,could come by,shower
223,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",they,could come by,shower of his own arrows innumerable as down
224,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,however speedily checked arrows,before they could come
225,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,speedily checked,before they could come at him
226,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",they,could come by,shower of his arrows
227,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,checked arrows,before they could come
228,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,however checked,numberless arrows
229,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,however checked arrows,they could come at him
230,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,checked,they could come at him
231,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",they,could come by,shower innumerable
232,"Bhishma, however speedily checked
those numberless arrows before they could come at him by means of a
shower of his own arrows as innumerable as the down on the body.",Bhishma,however checked arrows,before they could come at him
