,document,subject,relation,object
10,"Bhishma, the son of Santanu, wanted to marry Vichitravirya, the daughter of the king of Kasi, so he went to Varanasi in a single chariot to see the self-choice ceremony where the three daughters of the Kasi king would be married.He chose them on behalf of his brother.",he,so went to,Varanasi
11,"Bhishma, the son of Santanu, wanted to marry Vichitravirya, the daughter of the king of Kasi, so he went to Varanasi in a single chariot to see the self-choice ceremony where the three daughters of the Kasi king would be married.He chose them on behalf of his brother.",Bhishma,son of,Santanu
12,"Bhishma, the son of Santanu, wanted to marry Vichitravirya, the daughter of the king of Kasi, so he went to Varanasi in a single chariot to see the self-choice ceremony where the three daughters of the Kasi king would be married.He chose them on behalf of his brother.",sel-choice of,daughter of,king of Kasi
13,"Bhishma, the son of Santanu, wanted to marry Vichitravirya, the daughter of the king of Kasi, so he went to Varanasi in a single chariot to see the self-choice ceremony where the three daughters of the Kasi king would be married.He chose them on behalf of his brother.",he,so went in,chariot
14,Bhishma took them on his car and challenged the assembled kings to a fight.,Bhishma,took,them
15,Bhishma took them on his car and challenged the assembled kings to a fight.,Bhishma,challenged,kings
16,Bhishma took them on his car and challenged the assembled kings to a fight.,Bhishma,took on,his car
17,Bhishma took them on his car and challenged the assembled kings to a fight.,Bhishma,challenged kings to,fight
18,Bhishma took them on his car and challenged the assembled kings to a fight.,Bhishma,challenged to,fight
19,Bhishma took them on his car and challenged the assembled kings to a fight.,Bhishma,challenged,assembled kings
20,"Bhishma, the Kuruwarrior, defeated the assembled monarchs and their car-warriors in a fierce battle.",Bhishma,defeated,monarchs
21,"Bhishma, the Kuruwarrior, defeated the assembled monarchs and their car-warriors in a fierce battle.",Bhishma,defeated in,fierce battle
22,"Bhishma, the Kuruwarrior, defeated the assembled monarchs and their car-warriors in a fierce battle.",Bhishma,defeated monarchs in,fierce battle
23,"Bhishma, the Kuruwarrior, defeated the assembled monarchs and their car-warriors in a fierce battle.",Bhishma,defeated monarchs in,battle
24,"Bhishma, the Kuruwarrior, defeated the assembled monarchs and their car-warriors in a fierce battle.",Bhishma,defeated,assembled monarchs
25,"Bhishma, the Kuruwarrior, defeated the assembled monarchs and their car-warriors in a fierce battle.",Bhishma,defeated in,battle
26,Bhishma took the title of the foremost wielder of weapons after the battle.He then pursued his way to the capital of the Bharatas with maidens.,Bhishma,took,title of wielder of weapons
27,Bhishma took the title of the foremost wielder of weapons after the battle.He then pursued his way to the capital of the Bharatas with maidens.,Bhishma,took,title of wielder
28,Bhishma took the title of the foremost wielder of weapons after the battle.He then pursued his way to the capital of the Bharatas with maidens.,Bhishma,took after,battle.He
29,Bhishma took the title of the foremost wielder of weapons after the battle.He then pursued his way to the capital of the Bharatas with maidens.,Bhishma,took,title
30,Bhishma took the title of the foremost wielder of weapons after the battle.He then pursued his way to the capital of the Bharatas with maidens.,Bhishma,took,title of foremost wielder
31,Bhishma took the title of the foremost wielder of weapons after the battle.He then pursued his way to the capital of the Bharatas with maidens.,Bhishma,took title after,battle.He
32,Bhishma took the title of the foremost wielder of weapons after the battle.He then pursued his way to the capital of the Bharatas with maidens.,Bhishma,took,title of foremost wielder of weapons
33,Salya and Bhishma fought each other in a battle.,Bhishma,fought in,battle
34,Salya and Bhishma fought each other in a battle.,Salya,fought in,Bhishma
35,"The Kuru chief killed Salya's charioteer with Varuna weapon on his bowstring, and the other kings who had come to witness it returned to their own kingdoms.",other kings,returned to,their kingdoms
36,"The Kuru chief killed Salya's charioteer with Varuna weapon on his bowstring, and the other kings who had come to witness it returned to their own kingdoms.",other kings,returned to,their own kingdoms
37,"The Kuru chief killed Salya's charioteer with Varuna weapon on his bowstring, and the other kings who had come to witness it returned to their own kingdoms.",kings,returned to,their own kingdoms
38,"The Kuru chief killed Salya's charioteer with Varuna weapon on his bowstring, and the other kings who had come to witness it returned to their own kingdoms.",Kuru chief,killed with,Varuna weapon
39,"The Kuru chief killed Salya's charioteer with Varuna weapon on his bowstring, and the other kings who had come to witness it returned to their own kingdoms.",kings,returned to,their kingdoms
40,"The Kuru chief killed Salya's charioteer with Varuna weapon on his bowstring, and the other kings who had come to witness it returned to their own kingdoms.",Salya,has,charioteer
41,"The Kuru chief killed Salya's charioteer with Varuna weapon on his bowstring, and the other kings who had come to witness it returned to their own kingdoms.",Kuru chief,killed with,Varuna weapon on his bowstring
42,"The Kuru chief killed Salya's charioteer with Varuna weapon on his bowstring, and the other kings who had come to witness it returned to their own kingdoms.",Kuru chief,killed,Salya 's charioteer
43,"The Kuru chief killed Salya's charioteer with Varuna weapon on his bowstring, and the other kings who had come to witness it returned to their own kingdoms.",it,returned to,their kingdoms
44,"The Kuru chief killed Salya's charioteer with Varuna weapon on his bowstring, and the other kings who had come to witness it returned to their own kingdoms.",it,returned to,their own kingdoms
45,"Vichitravirya was married to Ambika and Ambalika, the daughters of the king of Kasi, but he soon became lustful after his marriage.He died in the prime of his youth.The funeral rites were performed by learned priests and the several of the Kuru race.",Vichitravirya,married,Amba
46,"Vichitravirya was married to Ambika and Ambalika, the daughters of the king of Kasi, but he soon became lustful after his marriage.He died in the prime of his youth.The funeral rites were performed by learned priests and the several of the Kuru race.",Vichitravirya,married,Ambalika
