,Unnamed: 0,sentence_no,word,predicted_tag,POS_Tags
93,93,0,"monarch,",O,NN
94,94,0,I,O,PRP
95,95,0,was,O,VBD
96,96,0,accosted,O,VBN
97,97,0,by,O,IN
98,98,0,a,O,DT
99,99,0,person,O,NN
100,100,0,in,O,IN
101,101,0,the,O,DT
102,102,0,service,O,NN
103,103,0,of,O,IN
104,104,0,"Rituparna,",B-PER,NNP
105,105,0,named,O,VBD
106,106,0,Vahuka.,O,NNP
107,107,0,And,O,CC
108,108,0,Vahuka,B-PER,NNP
109,109,0,is,O,VBZ
110,110,0,the,O,DT
111,111,0,charioteer,O,NN
112,112,0,of,O,IN
113,113,0,that,O,DT
114,114,0,"king,",O,NN
115,115,0,of,O,IN
116,116,0,unsightly,O,JJ
117,117,0,appearance,O,NN
118,118,0,and,O,CC
119,119,0,possessed,O,VBN
120,120,0,of,O,IN
121,121,0,short,O,JJ
122,122,0,arms.,O,NN
123,123,0,And,O,CC
124,124,0,he,O,PRP
125,125,0,is,O,VBZ
126,126,0,skillful,O,JJ
127,127,0,in,O,IN
128,128,0,driving,O,VBG
129,129,0,with,O,IN
130,130,0,"speed,",O,NN
131,131,0,and,O,CC
132,132,0,well,O,RB
133,133,0,acquainted,O,VBN
134,134,0,with,O,IN
135,135,0,the,O,DT
136,136,0,culinary,O,JJ
137,137,0,art.,O,NN
138,138,0,And,O,CC
139,139,0,sighing,O,VBG
140,140,0,"frequently,",O,NN
141,141,0,and,O,CC
142,142,0,weeping,O,VBG
143,143,0,again,O,RB
144,144,0,and,O,CC
145,145,0,"again,",O,VB
146,146,0,he,O,PRP
147,147,0,inquired,O,VBD
148,148,0,about,O,IN
149,149,0,my,O,PRP$
150,150,0,welfare,O,NN
151,151,0,and,O,CC
152,152,0,afterwards,O,NNS
153,153,0,said,O,VBD
154,154,0,these,O,DT
155,155,0,"words,",O,NNS
156,156,0,'Chaste,O,POS
157,157,0,"women,",O,NN
158,158,0,although,O,IN
159,159,0,fallen,O,VBN
160,160,0,into,O,IN
161,161,0,"distress,",O,NN
162,162,0,yet,O,RB
163,163,0,protect,O,VBP
164,164,0,themselves,O,PRP
165,165,0,and,O,CC
166,166,0,thus,O,RB
167,167,0,certainly,O,RB
168,168,0,secure,O,NN
169,169,0,heaven.,O,NN
170,170,0,Although,O,IN
171,171,0,they,O,PRP
172,172,0,may,O,MD
173,173,0,be,O,VB
174,174,0,deserted,O,VBN
175,175,0,by,O,IN
176,176,0,their,O,PRP$
177,177,0,"lords,",O,NN
178,178,0,they,O,PRP
179,179,0,do,O,VBP
180,180,0,not,O,RB
181,181,0,yet,O,RB
182,182,0,become,O,VBN
183,183,0,angry,O,JJ
184,184,0,on,O,IN
185,185,0,that,O,DT
186,186,0,"account,",O,NN
187,187,0,for,O,IN
188,188,0,women,O,NNS
189,189,0,that,O,WDT
190,190,0,are,O,VBP
191,191,0,chaste,O,VBN
192,192,0,lead,O,VBP
193,193,0,their,O,PRP$
194,194,0,"lives,",O,NN
195,195,0,encased,O,VBN
196,196,0,in,O,IN
197,197,0,the,O,DT
198,198,0,armour,O,NN
199,199,0,of,O,IN
200,200,0,virtuous,O,JJ
201,201,0,behaviour.,O,NN
202,202,0,It,O,PRP
203,203,0,behoveth,O,VBZ
204,204,0,her,O,PRP
205,205,0,not,O,RB
206,206,0,to,O,TO
207,207,0,be,O,VB
208,208,0,"angry,",O,JJ
209,209,0,since,O,IN
210,210,0,he,O,PRP
211,211,0,that,O,WDT
212,212,0,deserted,O,VBD
213,213,0,her,O,PRP
214,214,0,was,O,VBD
215,215,0,overwhelmed,O,VBN
216,216,0,with,O,IN
217,217,0,"calamity,",O,NN
218,218,0,and,O,CC
219,219,0,deprived,O,VBN
220,220,0,of,O,IN
221,221,0,every,O,DT
222,222,0,bliss.,O,NN
223,223,0,A,O,DT
224,224,0,beauteous,O,JJ
225,225,0,and,O,CC
226,226,0,virtuous,O,JJ
227,227,0,woman,O,NN
228,228,0,should,O,MD
229,229,0,not,O,RB
230,230,0,be,O,VB
231,231,0,angry,O,JJ
232,232,0,with,O,IN
233,233,0,one,O,CD
234,234,0,that,O,WDT
235,235,0,was,O,VBD
236,236,0,deprived,O,VBN
237,237,0,by,O,IN
238,238,0,birds,O,NNS
239,239,0,of,O,IN
240,240,0,his,O,PRP$
241,241,0,garment,O,NN
242,242,0,while,O,IN
243,243,0,striving,O,VBG
244,244,0,to,O,TO
245,245,0,procure,O,VB
246,246,0,sustenance,O,NN
247,247,0,and,O,CC
248,248,0,who,O,WP
249,249,0,is,O,VBZ
250,250,0,being,O,VBG
251,251,0,consumed,O,VBN
252,252,0,with,O,IN
253,253,0,grief.,O,NN
254,254,0,Whether,O,NNP
255,255,0,treated,O,VBD
256,256,0,well,O,RB
257,257,0,or,O,CC
258,258,0,"ill,",O,VB
259,259,0,such,O,JJ
260,260,0,a,O,DT
261,261,0,wife,O,NN
262,262,0,should,O,MD
263,263,0,never,O,RB
264,264,0,indulge,O,VB
265,265,0,in,O,IN
266,266,0,"ire,",O,JJ
267,267,0,beholding,O,VBG
268,268,0,her,O,PRP$
269,269,0,husband,O,NN
270,270,0,in,O,IN
271,271,0,that,O,DT
272,272,0,"plight,",O,NN
273,273,0,despoiled,O,VBD
274,274,0,of,O,IN
275,275,0,kingdom,O,NN
276,276,0,and,O,CC
277,277,0,destitute,O,NN
278,278,0,of,O,IN
279,279,0,"prosperity,",O,NN
280,280,0,oppressed,O,VBN
281,281,0,with,O,IN
282,282,0,hunger,O,NN
283,283,0,and,O,CC
284,284,0,overwhelmed,O,VBD
285,285,0,with,O,IN
286,286,0,calamity.',O,NN
287,287,0,Hearing,O,VBG
288,288,0,these,O,DT
289,289,0,words,O,NNS
290,290,0,of,O,IN
291,291,0,"his,",O,NN
292,292,0,I,O,PRP
293,293,0,have,O,VBP
294,294,0,speedily,O,RB
295,295,0,come,O,VBN
296,296,0,here.,O,NN
297,297,0,Thou,O,NNP
298,298,0,hast,O,NN
299,299,0,now,O,RB
300,300,0,heard,O,VBZ
301,301,0,all.,O,NN
302,302,0,Do,O,VB
303,303,0,what,O,WP
304,304,0,thou,O,VB
305,305,0,thinkest,O,JJS
306,306,0,"proper,",O,NN
307,307,0,and,O,CC
308,308,0,inform,O,VB
309,309,0,the,O,DT
310,310,0,king,O,NN
311,311,0,of,O,IN
312,312,0,it.',O,NN
313,313,1,"""O",O,NN
314,314,1,"king,",O,NN
315,315,1,having,O,VBG
316,316,1,heard,O,VBN
317,317,1,these,O,DT
318,318,1,words,O,NNS
319,319,1,of,O,IN
320,320,1,"Parnada,",B-PER,NNP
321,321,1,Damayanti,B-PER,NNP
322,322,1,with,O,IN
323,323,1,tearful,O,JJ
324,324,1,eyes,O,NNS
325,325,1,came,O,VBD
326,326,1,to,O,TO
327,327,1,her,O,PRP$
328,328,1,"mother,",O,NN
329,329,1,and,O,CC
330,330,1,spake,O,VB
331,331,1,unto,O,JJ
332,332,1,her,O,PRP$
333,333,1,in,O,IN
334,334,1,"private,",O,NN
335,335,1,'O,O,POS
336,336,1,"mother,",O,NN
337,337,1,king,O,VBG
338,338,1,Bhima,B-PER,NNP
339,339,1,should,O,MD
340,340,1,"not,",O,VB
341,341,1,by,O,IN
342,342,1,any,O,DT
343,343,1,"means,",O,NN
344,344,1,be,O,VB
345,345,1,made,O,VBN
346,346,1,acquainted,O,VBN
347,347,1,with,O,IN
348,348,1,my,O,PRP$
349,349,1,purpose.,O,NN
350,350,1,In,O,IN
351,351,1,thy,O,JJ
352,352,1,presence,O,NN
353,353,1,will,O,MD
354,354,1,I,O,PRP
355,355,1,employ,O,VB
356,356,1,that,O,DT
357,357,1,best,O,JJS
358,358,1,of,O,IN
359,359,1,"Brahmanas,",B-COMMUNITY,NNP
360,360,1,Sudeva!,B-PER,NNP
361,361,1,If,O,IN
362,362,1,thou,O,JJ
363,363,1,desirest,O,JJS
364,364,1,my,O,PRP$
365,365,1,"welfare,",O,NN
366,366,1,act,O,NN
367,367,1,in,O,IN
368,368,1,such,O,JJ
369,369,1,a,O,DT
370,370,1,way,O,NN
371,371,1,that,O,IN
372,372,1,king,O,VBG
373,373,1,Bhima,B-PER,NNP
374,374,1,may,O,MD
375,375,1,not,O,RB
376,376,1,know,O,VB
377,377,1,my,O,PRP$
378,378,1,purpose.,O,NN
379,379,1,Let,O,VB
380,380,1,Sudeva,B-PER,NNP
381,381,1,without,O,IN
382,382,1,delay,O,NN
383,383,1,go,O,VBP
384,384,1,hence,O,RB
385,385,1,to,O,TO
386,386,1,the,O,DT
387,387,1,city,O,NN
388,388,1,of,O,IN
389,389,1,"Ayodhya,",B-PLACE,NNP
390,390,1,for,O,IN
391,391,1,the,O,DT
392,392,1,purpose,O,NN
393,393,1,of,O,IN
394,394,1,bringing,O,VBG
395,395,1,"Nala,",B-PER,NNP
396,396,1,O,O,NNP
397,397,1,"mother,",O,NN
398,398,1,having,O,VBG
399,399,1,performed,O,VBN
400,400,1,the,O,DT
401,401,1,same,O,JJ
402,402,1,auspicious,O,JJ
403,403,1,rites,O,NNS
404,404,1,by,O,IN
405,405,1,virtue,O,NN
406,406,1,of,O,IN
407,407,1,which,O,WDT
408,408,1,he,O,PRP
409,409,1,had,O,VBD
410,410,1,speedily,O,RB
411,411,1,brought,O,VBN
412,412,1,me,O,PRP
413,413,1,into,O,IN
414,414,1,the,O,DT
415,415,1,midst,O,NN
416,416,1,of,O,IN
417,417,1,friends.',O,NN
418,418,1,With,O,IN
419,419,1,these,O,DT
420,420,1,"words,",O,NNS
421,421,1,after,O,IN
422,422,1,Parnada,B-PER,NNP
423,423,1,had,O,VBD
424,424,1,recovered,O,VBN
425,425,1,from,O,IN
426,426,1,"fatigue,",O,NN
427,427,1,the,O,DT
428,428,1,princess,O,NN
429,429,1,of,O,IN
430,430,1,Vidarbha,B-PER,NNP
431,431,1,worshipped,O,VBD
432,432,1,him,O,PRP
433,433,1,with,O,IN
434,434,1,profuse,O,NN
435,435,1,wealth,O,NN
436,436,1,and,O,CC
437,437,1,also,O,RB
438,438,1,"said,",O,VBD
439,439,1,'When,O,NNP
440,440,1,Nala,B-PER,NNP
441,441,1,will,O,MD
442,442,1,come,O,VB
443,443,1,"here,",O,NN
444,444,1,O,O,NNP
445,445,1,"Brahmana,",B-COMMUNITY,NNP
446,446,1,I,O,PRP
447,447,1,will,O,MD
448,448,1,bestow,O,VB
449,449,1,on,O,IN
450,450,1,thee,O,JJ
451,451,1,wealth,O,NN
452,452,1,in,O,IN
453,453,1,abundance,O,NN
454,454,1,again.,O,NN
455,455,1,Thou,O,NNP
456,456,1,hast,O,NN
457,457,1,done,O,VBN
458,458,1,me,O,PRP
459,459,1,the,O,DT
460,460,1,immense,O,NN
461,461,1,service,O,NN
462,462,1,which,O,WDT
463,463,1,none,O,NN
464,464,1,"else,",O,NN
465,465,1,"indeed,",O,NN
466,466,1,can,O,MD
467,467,1,do,O,VB
468,468,1,"me,",O,VB
469,469,1,"for,",O,VB
470,470,1,(owing,O,VBG
471,471,1,to,O,TO
472,472,1,that,O,DT
473,473,1,service,O,NN
474,474,1,of,O,IN
475,475,1,"thine),",O,JJ
476,476,1,O,O,NNP
477,477,1,thou,O,NN
478,478,1,best,O,JJS
479,479,1,of,O,IN
480,480,1,the,O,DT
481,481,1,regenerate,O,NN
482,482,1,"ones,",O,NN
483,483,1,I,O,PRP
484,484,1,shall,O,MD
485,485,1,speedily,O,RB
486,486,1,regain,O,VB
487,487,1,my,O,PRP$
488,488,1,(lost),O,NN
489,489,1,lord.',O,NN
490,490,1,And,O,CC
491,491,1,thus,O,RB
492,492,1,addressed,O,VBN
493,493,1,by,O,IN
494,494,1,"Damayanti,",B-PER,NNP
495,495,1,that,O,IN
496,496,1,high-minded,O,JJ
497,497,1,Brahmana,B-COMMUNITY,NNP
498,498,1,comforted,O,VBD
499,499,1,"her,",O,JJ
500,500,1,uttering,O,JJ
501,501,1,benedictory,O,NN
502,502,1,words,O,NNS
503,503,1,of,O,IN
504,504,1,auspicious,O,JJ
505,505,1,"import,",O,NN
506,506,1,and,O,CC
507,507,1,then,O,RB
508,508,1,went,O,VBD
509,509,1,"home,",O,NN
510,510,1,regarding,O,VBG
511,511,1,his,O,PRP$
512,512,1,mission,O,NN
513,513,1,to,O,TO
514,514,1,have,O,VB
515,515,1,been,O,VBN
516,516,1,successful.,O,JJ
517,517,1,And,O,CC
518,518,1,after,O,IN
519,519,1,he,O,PRP
520,520,1,had,O,VBD
521,521,1,gone,O,VBN
522,522,1,"away,",O,JJ
523,523,1,Damayanti,B-PER,NNP
524,524,1,oppressed,O,VBD
525,525,1,with,O,IN
526,526,1,grief,O,NN
527,527,1,and,O,CC
528,528,1,"distress,",O,NN
529,529,1,calling,O,VBG
530,530,1,"Sudeva,",O,NNP
531,531,1,addressed,O,VBD
532,532,1,"him,",O,PRP$
533,533,1,O,O,NNP
534,534,1,"Yudhishthira,",O,NNP
535,535,1,in,O,IN
536,536,1,the,O,DT
537,537,1,presence,O,NN
538,538,1,of,O,IN
539,539,1,her,O,PRP$
540,540,1,"mother,",O,NN
541,541,1,"saying,",O,NN
542,542,1,'O,O,POS
543,543,1,"Sudeva,",O,NNP
544,544,1,go,O,VBP
545,545,1,thou,O,NN
546,546,1,to,O,TO
547,547,1,the,O,DT
548,548,1,city,O,NN
549,549,1,of,O,IN
550,550,1,"Ayodhya,",B-PLACE,NNP
551,551,1,straight,O,VBD
552,552,1,as,O,IN
553,553,1,a,O,DT
554,554,1,"bird,",O,NN
555,555,1,and,O,CC
556,556,1,tell,O,VB
557,557,1,king,O,VBG
558,558,1,Rituparna,B-PER,NNP
559,559,1,living,O,VBG
560,560,1,"there,",O,IN
561,561,1,these,O,DT
562,562,1,words:,O,NNS
563,563,1,'Bhima's,O,POS
564,564,1,"daughter,",O,NN
565,565,1,Damayanti,B-PER,NNP
566,566,1,will,O,MD
567,567,1,hold,O,VB
568,568,1,another,O,DT
569,569,1,Swayamvara.,O,NNP
570,570,1,All,O,PDT
571,571,1,the,O,DT
572,572,1,kings,O,NNS
573,573,1,and,O,CC
574,574,1,princes,O,NNS
575,575,1,are,O,VBP
576,576,1,going,O,VBG
577,577,1,thither.,O,NN
578,578,1,Calculating,O,VBG
579,579,1,the,O,DT
580,580,1,"time,",O,NN
581,581,1,I,O,PRP
582,582,1,find,O,VBP
583,583,1,that,O,IN
584,584,1,the,O,DT
585,585,1,ceremony,O,NN
586,586,1,will,O,MD
587,587,1,take,O,VB
588,588,1,place,O,NN
589,589,1,tomorrow.,O,NN
590,590,1,O,O,NNP
591,591,1,represser,O,NN
592,592,1,of,O,IN
593,593,1,"foes,",O,NN
594,594,1,if,O,IN
595,595,1,it,O,PRP
596,596,1,is,O,VBZ
597,597,1,possible,O,JJ
598,598,1,for,O,IN
599,599,1,"thee,",O,NN
600,600,1,go,O,VBP
601,601,1,thither,O,RB
602,602,1,without,O,IN
603,603,1,delay.,O,NN
604,604,1,"Tomorrow,",O,NN
605,605,1,after,O,IN
606,606,1,the,O,DT
607,607,1,sun,O,NN
608,608,1,hath,O,NN
609,609,1,"risen,",O,NN
610,610,1,she,O,PRP
611,611,1,will,O,MD
612,612,1,choose,O,VB
613,613,1,a,O,DT
614,614,1,second,O,JJ
615,615,1,"husband,",O,NN
616,616,1,as,O,IN
617,617,1,she,O,PRP
618,618,1,doth,O,VBZ
619,619,1,not,O,RB
620,620,1,know,O,VB
621,621,1,whether,O,IN
622,622,1,the,O,DT
623,623,1,heroic,O,NN
624,624,1,Nala,B-PER,NNP
625,625,1,liveth,O,VBZ
626,626,1,or,O,CC
627,627,1,not.,O,NN
628,628,1,And,O,CC
629,629,1,addressed,O,VBN
630,630,1,by,O,IN
631,631,1,"her,",O,NN
632,632,1,O,O,NNP
633,633,1,monarch,O,NN
634,634,1,"thus,",O,NN
635,635,1,Sudeva,B-PER,NNP
636,636,1,set,O,VBD
637,637,1,out.,O,RP
638,638,1,And,O,CC
639,639,1,he,O,PRP
640,640,1,said,O,VBD
641,641,1,unto,O,JJ
642,642,1,"Rituparna,",O,NNP
643,643,1,all,O,PDT
644,644,1,that,O,IN
645,645,1,he,O,PRP
646,646,1,had,O,VBD
647,647,1,been,O,VBN
648,648,1,directed,O,VBN
649,649,1,to,O,TO
650,650,1,"say.'""",O,VB
651,651,2,"say.'""",O,NN
652,652,3,"""Vrihadaswa",B-PER,JJ
653,653,3,"continued,",O,NN
654,654,3,'Having,O,VBG
655,655,3,heard,O,VBD
656,656,3,the,O,DT
657,657,3,words,O,NNS
658,658,3,of,O,IN
659,659,3,Sudeva,B-PER,NNP
660,660,3,king,O,VBG
661,661,3,"Rituparna,",O,NNP
662,662,3,soothing,O,VBG
663,663,3,Vahuka,B-PER,NNP
664,664,3,with,O,IN
665,665,3,gentle,O,JJ
666,666,3,"words,",O,NN
667,667,3,"said,",O,NN
668,668,3,'O,O,POS
669,669,3,"Vahuka,",O,NNP
670,670,3,thou,O,VBD
671,671,3,art,O,RB
672,672,3,well-skilled,O,JJ
673,673,3,in,O,IN
674,674,3,training,O,NN
675,675,3,and,O,CC
676,676,3,guiding,O,NN
677,677,3,horses.,O,NN
678,678,3,If,O,IN
679,679,3,it,O,PRP
680,680,3,pleases,O,VBZ
681,681,3,"thee,",O,JJ
682,682,3,I,O,PRP
683,683,3,intend,O,VBP
684,684,3,to,O,TO
685,685,3,go,O,VB
686,686,3,to,O,TO
687,687,3,Damayanti's,B-PER,NNP
688,688,3,Swayamvara,B-EVE,NNP
689,689,3,in,O,IN
690,690,3,course,O,NN
691,691,3,of,O,IN
692,692,3,a,O,DT
693,693,3,single,O,JJ
694,694,3,day.',O,NN
695,695,3,Thus,O,RB
696,696,3,"addressed,",O,RB
697,697,3,O,O,NNP
698,698,3,son,O,NN
699,699,3,of,O,IN
700,700,3,"Kunti,",O,NNP
701,701,3,by,O,IN
702,702,3,that,O,DT
703,703,3,"king,",O,NN
704,704,3,Nala,B-PER,NNP
705,705,3,felt,O,VBD
706,706,3,his,O,PRP$
707,707,3,heart,O,NN
708,708,3,to,O,TO
709,709,3,be,O,VB
710,710,3,bursting,O,VBG
711,711,3,in,O,IN
712,712,3,grief.,O,NN
713,713,3,And,O,CC
714,714,3,the,O,DT
715,715,3,high-souled,O,JJ
716,716,3,king,O,NN
717,717,3,seemed,O,VBD
718,718,3,to,O,TO
719,719,3,burn,O,VB
720,720,3,in,O,IN
721,721,3,sorrow.,O,NN
722,722,3,And,O,CC
723,723,3,he,O,PRP
724,724,3,thought,O,VBD
725,725,3,within,O,IN
726,726,3,"himself,",O,NN
727,727,3,'Perhaps,O,NNS
728,728,3,Damayanti,B-PER,NNP
729,729,3,in,O,IN
730,730,3,doing,O,VBG
731,731,3,this,O,DT
732,732,3,is,O,VBZ
733,733,3,blinded,O,VBN
734,734,3,by,O,IN
735,735,3,sorrow.,O,NN
736,736,3,"Or,",O,NNP
737,737,3,"perhaps,",O,NN
738,738,3,she,O,PRP
739,739,3,hath,O,VBZ
740,740,3,conceived,O,VBD
741,741,3,this,O,DT
742,742,3,magnificent,O,JJ
743,743,3,scheme,O,NN
744,744,3,for,O,IN
745,745,3,my,O,PRP$
746,746,3,sake.,O,NN
747,747,3,"Alas,",O,NNP
748,748,3,cruel,O,NN
749,749,3,is,O,VBZ
750,750,3,the,O,DT
751,751,3,deed,O,NN
752,752,3,that,O,IN
753,753,3,the,O,DT
754,754,3,innocent,O,JJ
755,755,3,princess,O,NN
756,756,3,of,O,IN
757,757,3,Vidarbha,B-PLACE,NNP
758,758,3,intends,O,VBZ
759,759,3,to,O,TO
760,760,3,"do,",O,VB
761,761,3,having,O,VBG
762,762,3,been,O,VBN
763,763,3,deceived,O,VBN
764,764,3,by,O,IN
765,765,3,my,O,PRP$
766,766,3,sinful,O,JJ
767,767,3,and,O,CC
768,768,3,low,O,JJ
769,769,3,self,O,NN
770,770,3,of,O,IN
771,771,3,little,O,JJ
772,772,3,sense.,O,NN
773,773,3,It,O,PRP
774,774,3,is,O,VBZ
775,775,3,seen,O,VBN
776,776,3,in,O,IN
777,777,3,the,O,DT
778,778,3,world,O,NN
779,779,3,that,O,IN
780,780,3,the,O,DT
781,781,3,nature,O,NN
782,782,3,of,O,IN
783,783,3,woman,O,NN
784,784,3,is,O,VBZ
785,785,3,inconstant.,O,JJ
786,786,3,My,O,PRP$
787,787,3,offence,O,NN
788,788,3,also,O,RB
789,789,3,hath,O,VBD
790,790,3,been,O,VBN
791,791,3,great;,O,JJ
792,792,3,perhaps,O,RB
793,793,3,she,O,PRP
794,794,3,is,O,VBZ
795,795,3,acting,O,VBG
796,796,3,"so,",O,NN
797,797,3,because,O,IN
798,798,3,she,O,PRP
799,799,3,hath,O,VBZ
800,800,3,no,O,RB
801,801,3,longer,O,RBR
802,802,3,any,O,DT
803,803,3,love,O,NN
804,804,3,for,O,IN
805,805,3,me,O,PRP
806,806,3,owing,O,VBG
807,807,3,to,O,TO
808,808,3,my,O,PRP$
809,809,3,separation,O,NN
810,810,3,from,O,IN
811,811,3,her.,O,NN
812,812,3,"Indeed,",O,NNP
813,813,3,that,O,IN
814,814,3,girl,O,NN
815,815,3,of,O,IN
816,816,3,slender,O,NN
817,817,3,"waist,",O,NN
818,818,3,afflicted,O,VBN
819,819,3,with,O,IN
820,820,3,grief,O,NN
821,821,3,on,O,IN
822,822,3,my,O,PRP$
823,823,3,account,O,NN
824,824,3,and,O,CC
825,825,3,with,O,IN
826,826,3,"despair,",O,NN
827,827,3,will,O,MD
828,828,3,not,O,RB
829,829,3,certainly,O,RB
830,830,3,do,O,VBP
831,831,3,anything,O,NN
832,832,3,of,O,IN
833,833,3,the,O,DT
834,834,3,"kind,",O,NN
835,835,3,when,O,WRB
836,836,3,"especially,",O,NN
837,837,3,she,O,PRP
838,838,3,is,O,VBZ
839,839,3,the,O,DT
840,840,3,mother,O,NN
841,841,3,of,O,IN
842,842,3,offspring,O,VBG
843,843,3,(by,O,NNP
844,844,3,me).,O,NN
845,845,3,However,O,RB
846,846,3,whether,O,IN
847,847,3,this,O,DT
848,848,3,is,O,VBZ
849,849,3,TRUE,O,JJ
850,850,3,or,O,CC
851,851,3,"false,",O,NN
852,852,3,I,O,PRP
853,853,3,shall,O,MD
854,854,3,ascertain,O,VB
855,855,3,with,O,IN
856,856,3,certitude,O,NN
857,857,3,by,O,IN
858,858,3,going,O,VBG
859,859,3,thither.,O,NN
860,860,3,I,O,PRP
861,861,3,"will,",O,VBP
862,862,3,"therefore,",O,JJ
863,863,3,accomplish,O,JJ
864,864,3,Rituparna's,B-PER,NNP
865,865,3,and,O,CC
866,866,3,my,O,PRP$
867,867,3,own,O,JJ
868,868,3,purpose,O,NN
869,869,3,also.',O,NN
870,870,3,Having,O,VBG
871,871,3,resolved,O,VBN
872,872,3,thus,O,RB
873,873,3,in,O,IN
874,874,3,his,O,PRP$
875,875,3,"mind,",O,NN
876,876,3,"Vahuka,",O,NNP
877,877,3,with,O,IN
878,878,3,his,O,PRP$
879,879,3,heart,O,NN
880,880,3,in,O,IN
881,881,3,"sorrow,",O,JJ
882,882,3,spake,O,NN
883,883,3,unto,O,JJ
884,884,3,king,O,NN
885,885,3,"Rituparna,",O,NNP
886,886,3,with,O,IN
887,887,3,joined,O,JJ
888,888,3,"hands,",O,NN
889,889,3,"saying,",O,NN
890,890,3,'O,O,POS
891,891,3,"monarch,",O,NN
892,892,3,I,O,PRP
893,893,3,bow,O,VBP
894,894,3,to,O,TO
895,895,3,thy,O,VB
896,896,3,"behest,",O,NN
897,897,3,"and,",O,NN
898,898,3,O,O,NNP
899,899,3,tiger,O,NN
900,900,3,among,O,IN
901,901,3,"men,",O,NN
902,902,3,I,O,PRP
903,903,3,will,O,MD
904,904,3,go,O,VB
905,905,3,to,O,TO
906,906,3,the,O,DT
907,907,3,city,O,NN
908,908,3,of,O,IN
909,909,3,the,O,DT
910,910,3,Vidarbhas,B-PLACE,NNP
911,911,3,in,O,IN
912,912,3,a,O,DT
913,913,3,single,O,JJ
914,914,3,day.,O,NN
915,915,3,O,O,NNP
916,916,3,king!',O,NN
917,917,3,"Then,",O,NNP
918,918,3,O,O,NNP
919,919,3,"monarch,",O,NN
920,920,3,at,O,IN
921,921,3,the,O,DT
922,922,3,command,O,NN
923,923,3,of,O,IN
924,924,3,the,O,DT
925,925,3,royal,O,JJ
926,926,3,son,O,NN
927,927,3,of,O,IN
928,928,3,"Bhangasura,",O,NNP
929,929,3,Vahuka,B-PER,NNP
930,930,3,went,O,VBD
931,931,3,to,O,TO
932,932,3,the,O,DT
933,933,3,stables,O,NNS
934,934,3,and,O,CC
935,935,3,began,O,VBD
936,936,3,to,O,TO
937,937,3,examine,O,VB
938,938,3,the,O,DT
939,939,3,horses.,O,NN
940,940,3,And,O,CC
941,941,3,repeatedly,O,RB
942,942,3,urged,O,VBN
