,document,subject,relation,object
63,"""And at the juncture, those foremost of celestial Rishis possessed of
great splendour, of great wisdom and great vows--namely, Narada and
Parvata--having arrived in course of their wandering at the regions of
Indra entered the mansion of the lord of the immortals, receiving proper
worship.",those,possessed of,splendour
64,"""And at the juncture, those foremost of celestial Rishis possessed of
great splendour, of great wisdom and great vows--namely, Narada and
Parvata--having arrived in course of their wandering at the regions of
Indra entered the mansion of the lord of the immortals, receiving proper
worship.",their,wandering at,regions
65,"And Maghavat having worshipped them reverentially, inquired
after their undisturbed peace and welfare as regards all respects.",Maghavat,having worshipped reverentially,them
66,"And Maghavat having worshipped them reverentially, inquired
after their undisturbed peace and welfare as regards all respects.",Maghavat,having worshipped,them
67,"And
Narada said, 'O lord, O divine one, peace attendeth us in every respect.",peace attendeth,is in,respect
68,"And
Narada said, 'O lord, O divine one, peace attendeth us in every respect.",lord,attendeth in,respect
69,"And, O Maghavat, peace attendeth also O exalted one, the kings of the
whole world.'",Maghavat,also exalted,kings of whole world
70,"And, O Maghavat, peace attendeth also O exalted one, the kings of the
whole world.'",Maghavat,exalted,kings
71,"And, O Maghavat, peace attendeth also O exalted one, the kings of the
whole world.'",Maghavat,also exalted,kings of world
72,"And, O Maghavat, peace attendeth also O exalted one, the kings of the
whole world.'",peace attendeth,exalted,kings of world
73,"And, O Maghavat, peace attendeth also O exalted one, the kings of the
whole world.'",peace attendeth,exalted,kings
74,"And, O Maghavat, peace attendeth also O exalted one, the kings of the
whole world.'",peace attendeth,also exalted,kings of world
75,"And, O Maghavat, peace attendeth also O exalted one, the kings of the
whole world.'",Maghavat,exalted,kings of world
76,"And, O Maghavat, peace attendeth also O exalted one, the kings of the
whole world.'",peace attendeth,also exalted,kings of whole world
77,"And, O Maghavat, peace attendeth also O exalted one, the kings of the
whole world.'",Maghavat,also exalted,kings
78,"And, O Maghavat, peace attendeth also O exalted one, the kings of the
whole world.'",peace attendeth,also exalted,kings
79,"And, O Maghavat, peace attendeth also O exalted one, the kings of the
whole world.'",Maghavat,exalted,kings of whole world
80,"And, O Maghavat, peace attendeth also O exalted one, the kings of the
whole world.'",peace attendeth,exalted,kings of whole world
81,"'Hearing the words of Narada the slaver of Vala
and Vritra said, 'Those righteous rulers of the earth who fight
renouncing all desire of life, and who meet death when their time is come
by means of weapons, without flying from the field,--theirs is this
region, everlasting unto them and granting all desires, even as it is to
me.",slaver,said,righteous rulers
82,"'Hearing the words of Narada the slaver of Vala
and Vritra said, 'Those righteous rulers of the earth who fight
renouncing all desire of life, and who meet death when their time is come
by means of weapons, without flying from the field,--theirs is this
region, everlasting unto them and granting all desires, even as it is to
me.",slaver,said,rulers of earth
83,"'Hearing the words of Narada the slaver of Vala
and Vritra said, 'Those righteous rulers of the earth who fight
renouncing all desire of life, and who meet death when their time is come
by means of weapons, without flying from the field,--theirs is this
region, everlasting unto them and granting all desires, even as it is to
me.",slaver,said,righteous rulers of earth
84,"'Hearing the words of Narada the slaver of Vala
and Vritra said, 'Those righteous rulers of the earth who fight
renouncing all desire of life, and who meet death when their time is come
by means of weapons, without flying from the field,--theirs is this
region, everlasting unto them and granting all desires, even as it is to
me.",their time,is come by,weapons
85,"'Hearing the words of Narada the slaver of Vala
and Vritra said, 'Those righteous rulers of the earth who fight
renouncing all desire of life, and who meet death when their time is come
by means of weapons, without flying from the field,--theirs is this
region, everlasting unto them and granting all desires, even as it is to
me.",slaver,said,rulers
86,"Thus addressed by Sakra, Narada
replied, 'Listen, O Mahavat, why seest not thou the kings (now)?",Narada,Thus addressed by,Sakra
87,"Thus addressed by Sakra, Narada
replied, 'Listen, O Mahavat, why seest not thou the kings (now)?",Narada,addressed by,Sakra
88,"The
ruler of the Vidarbhas hath a daughter--the celebrated Damayanti.",ruler,hath,daughter
89,"In
beauty she transcendeth all the women of the earth.",she,transcendeth,women of earth
90,"Her Swayamvara, O
Sakra, will take place shortly.",Her Swayamvara,will take shortly,place
91,"Her Swayamvara, O
Sakra, will take place shortly.",Her Swayamvara,will take,place
92,"Her Swayamvara, O
Sakra, will take place shortly.",Her,Swayamvara,O Sakra
93,"Thither are going all the kings and
Princes from all directions.",Thither,are going kings from,directions
94,"Thither are going all the kings and
Princes from all directions.",Thither,are going from,directions
95,"And all the lords of the earth desire to
have that pearl of the earth,--desire to have her eagerly, O slaver of
Vala and Vritra.'",desire,slaver of,Vala
96,"And while they were talking thus, those foremost of the
immortals, the Lokapalas with Agni among them, appeared before the lord
of the celestials.",foremost,appeared,while they were talking thus
97,"And while they were talking thus, those foremost of the
immortals, the Lokapalas with Agni among them, appeared before the lord
of the celestials.",immortals,Lokapalas with,Agni
98,"And while they were talking thus, those foremost of the
immortals, the Lokapalas with Agni among them, appeared before the lord
of the celestials.",immortals,Lokapalas among,them
99,"And while they were talking thus, those foremost of the
immortals, the Lokapalas with Agni among them, appeared before the lord
of the celestials.",Lokapalas,is with,Agni
100,"And while they were talking thus, those foremost of the
immortals, the Lokapalas with Agni among them, appeared before the lord
of the celestials.",foremost,appeared,they were talking
101,"And while they were talking thus, those foremost of the
immortals, the Lokapalas with Agni among them, appeared before the lord
of the celestials.",foremost,appeared,they were talking thus
102,"And while they were talking thus, those foremost of the
immortals, the Lokapalas with Agni among them, appeared before the lord
of the celestials.",foremost,appeared,while they were talking
103,"And while they were talking thus, those foremost of the
immortals, the Lokapalas with Agni among them, appeared before the lord
of the celestials.",foremost,appeared before,lord
104,"And while they were talking thus, those foremost of the
immortals, the Lokapalas with Agni among them, appeared before the lord
of the celestials.",foremost,appeared before,lord of celestials
105,"And as soon as they heard them, they exclaimed in rapture,
We also will go there.",they,exclaimed in,rapture
106,"And as soon as they heard them, they exclaimed in rapture,
We also will go there.",they,soon exclaimed in,rapture
107,"And as soon as they heard them, they exclaimed in rapture,
We also will go there.",they,as soon exclaimed in,rapture
108,"And, O mighty monarch, accompanied by their
attendants and mounted on their (respective) vehicles, they set out for
the country of Vidarbhas, whither (had gone) all the kings.",mighty monarch,mounted on,their vehicles
109,"And, O mighty monarch, accompanied by their
attendants and mounted on their (respective) vehicles, they set out for
the country of Vidarbhas, whither (had gone) all the kings.",mighty monarch,accompanied by,their attendants
110,"And, O mighty monarch, accompanied by their
attendants and mounted on their (respective) vehicles, they set out for
the country of Vidarbhas, whither (had gone) all the kings.",they,set out kings for,country of Vidarbhas
111,"And, O mighty monarch, accompanied by their
attendants and mounted on their (respective) vehicles, they set out for
the country of Vidarbhas, whither (had gone) all the kings.",monarch,accompanied by,their attendants
112,"And, O mighty monarch, accompanied by their
attendants and mounted on their (respective) vehicles, they set out for
the country of Vidarbhas, whither (had gone) all the kings.",mighty monarch,mounted on,their respective vehicles
113,"And, O mighty monarch, accompanied by their
attendants and mounted on their (respective) vehicles, they set out for
the country of Vidarbhas, whither (had gone) all the kings.",they,set out,kings
114,"And, O mighty monarch, accompanied by their
attendants and mounted on their (respective) vehicles, they set out for
the country of Vidarbhas, whither (had gone) all the kings.",monarch,mounted on,their respective vehicles
115,"And, O mighty monarch, accompanied by their
attendants and mounted on their (respective) vehicles, they set out for
the country of Vidarbhas, whither (had gone) all the kings.",monarch,mounted on,their vehicles
116,"And, O mighty monarch, accompanied by their
attendants and mounted on their (respective) vehicles, they set out for
the country of Vidarbhas, whither (had gone) all the kings.",they,set out kings for,country
117,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",king Nala,hearing of,concourse
118,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",souled king Nala,hearing of,concourse
119,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",souled king Nala,also hearing of,concourse of kings
120,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",son,also hearing of,concourse
121,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",high souled king Nala,hearing of,concourse of kings
122,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",high souled king Nala,hearing of,concourse
123,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",souled king Nala,also hearing of,concourse
124,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",Damayanti,of,love
125,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",high souled king Nala,also hearing of,concourse
126,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",king Nala,also hearing of,concourse
127,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",son,hearing of,concourse of kings
128,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",high souled king Nala,also hearing of,concourse of kings
129,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",son,hearing of,concourse
130,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",son,also hearing of,concourse of kings
131,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",king Nala,also hearing of,concourse of kings
132,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",king Nala,hearing of,concourse of kings
133,"And, O son of
Kunti, the high-souled king Nala also hearing of that concourse of kings,
set out with a cheerful heart, full of Damayanti's love.",souled king Nala,hearing of,concourse of kings
134,"And (it came to
pass) that the gods saw Nala on the way treading on the earth.",gods,saw on,way
135,"And (it came to
pass) that the gods saw Nala on the way treading on the earth.",gods,saw Nala on,way
136,"And (it came to
pass) that the gods saw Nala on the way treading on the earth.",gods,saw on,way treading
137,"And (it came to
pass) that the gods saw Nala on the way treading on the earth.",gods,saw Nala on,way treading
138,"And (it came to
pass) that the gods saw Nala on the way treading on the earth.",gods,saw on,way treading on earth
139,"And (it came to
pass) that the gods saw Nala on the way treading on the earth.",gods,saw,Nala
140,"And (it came to
pass) that the gods saw Nala on the way treading on the earth.",gods,saw Nala on,way treading on earth
141,"And his
form owing to its beauty was like that of the god of love himself.",his form,was like,that
142,"And his
form owing to its beauty was like that of the god of love himself.",his form,was like,that of god of love himself
143,"And his
form owing to its beauty was like that of the god of love himself.",his form,was like,that of god
144,"And
beholding him resplendent as the sun, the Lokapalas were filled with
astonishment at his wealth of beauty, and abandoned their intention.",Lokapalas,abandoned,their intention
145,"And
beholding him resplendent as the sun, the Lokapalas were filled with
astonishment at his wealth of beauty, and abandoned their intention.",Lokapalas,were,filled with astonishment at his wealth
146,"And
beholding him resplendent as the sun, the Lokapalas were filled with
astonishment at his wealth of beauty, and abandoned their intention.",Lokapalas,were,filled
147,"And
beholding him resplendent as the sun, the Lokapalas were filled with
astonishment at his wealth of beauty, and abandoned their intention.",Lokapalas,beholding,him resplendent
148,"And
beholding him resplendent as the sun, the Lokapalas were filled with
astonishment at his wealth of beauty, and abandoned their intention.",Lokapalas,beholding,him resplendent as sun
149,"And
beholding him resplendent as the sun, the Lokapalas were filled with
astonishment at his wealth of beauty, and abandoned their intention.",Lokapalas,were filled at,his wealth
150,"And
beholding him resplendent as the sun, the Lokapalas were filled with
astonishment at his wealth of beauty, and abandoned their intention.",him,resplendent as,sun
151,"And
beholding him resplendent as the sun, the Lokapalas were filled with
astonishment at his wealth of beauty, and abandoned their intention.",Lokapalas,were filled at,his wealth of beauty
152,"And
beholding him resplendent as the sun, the Lokapalas were filled with
astonishment at his wealth of beauty, and abandoned their intention.",Lokapalas,were,filled with astonishment at his wealth of beauty
153,"And
beholding him resplendent as the sun, the Lokapalas were filled with
astonishment at his wealth of beauty, and abandoned their intention.",Lokapalas,were filled with,astonishment
154,"And,
O king, leaving their cars in the sky the dwellers of heaven alighted
from the welkin and spake unto the ruler of the Nishadhas, saying, 'O
foremost of monarchs ruling the Nishadhas, O Nala, thou art devoted to
truth.",dwellers,spake unto,ruler
155,"And,
O king, leaving their cars in the sky the dwellers of heaven alighted
from the welkin and spake unto the ruler of the Nishadhas, saying, 'O
foremost of monarchs ruling the Nishadhas, O Nala, thou art devoted to
truth.",dwellers,spake unto,ruler of Nishadhas
156,"And,
O king, leaving their cars in the sky the dwellers of heaven alighted
from the welkin and spake unto the ruler of the Nishadhas, saying, 'O
foremost of monarchs ruling the Nishadhas, O Nala, thou art devoted to
truth.",dwellers,alighted from,welkin
157,Do thou help us.,thou,Do help,us
158,"And then approaching these, he asked
with folded hands.",he,asked with,folded hands
159,"And then approaching these, he asked
with folded hands.",he,asked with,hands
160,"And who also is he that desireth me to be
his messenger?",me,be,his messenger
161,"--When the king of the Nishadhas spoke thus, Maghavat replied,
saying, 'Know us as the immortals come hither for Damayanti's sake.",immortals,come for,Damayanti 's sake
162,"--When the king of the Nishadhas spoke thus, Maghavat replied,
saying, 'Know us as the immortals come hither for Damayanti's sake.",immortals,come hither for,Damayanti 's sake
163,"--When the king of the Nishadhas spoke thus, Maghavat replied,
saying, 'Know us as the immortals come hither for Damayanti's sake.",Damayanti,for,sake
164,"I am
Indra, this one is Agni, this the lord of waters, and this, O king, is
even Yama the destroyer of the bodies of men.",one,is,Agni
165,"I am
Indra, this one is Agni, this the lord of waters, and this, O king, is
even Yama the destroyer of the bodies of men.",lord,destroyer of,bodies
166,"I am
Indra, this one is Agni, this the lord of waters, and this, O king, is
even Yama the destroyer of the bodies of men.",lord,destroyer of,bodies of men
167,"I am
Indra, this one is Agni, this the lord of waters, and this, O king, is
even Yama the destroyer of the bodies of men.",I,am,Indra
168,"Do thou inform Damayanti of
our arrival, saying, 'The guardians of the world, (consisting of) the
great Indra and the others, are coming to the assembly, desirous of
beholding (the Swayamvara).",thou,Do inform,Damayanti
169,"Do thou inform Damayanti of
our arrival, saying, 'The guardians of the world, (consisting of) the
great Indra and the others, are coming to the assembly, desirous of
beholding (the Swayamvara).",thou,Do inform Damayanti of,our arrival
170,"Do thou inform Damayanti of
our arrival, saying, 'The guardians of the world, (consisting of) the
great Indra and the others, are coming to the assembly, desirous of
beholding (the Swayamvara).",thou,Do inform of,our arrival
171,"Do thou, therefore, choose one of them for thy
lord.'",thou,Do choose for,thy lord
172,"Thus addressed by Sakra, Nala said with joined hands, 'I have come
here with the self same object.",Nala,said with,hands
173,"Thus addressed by Sakra, Nala said with joined hands, 'I have come
here with the self same object.",Nala,addressed by,Sakra
174,"Thus addressed by Sakra, Nala said with joined hands, 'I have come
here with the self same object.",Nala,said with,joined hands
175,"Thus addressed by Sakra, Nala said with joined hands, 'I have come
here with the self same object.",Nala,Thus addressed by,Sakra
176,"Therefore,
spare me, ye gods' The gods, however, said, 'O ruler of the Nishadhas,
having promised first, saying, 'I will!",ye gods,',gods
177,"O ruler of the Nishadhas, tell us this without delay.'",ruler,tell,us
178,"O ruler of the Nishadhas, tell us this without delay.'",ruler,tell without,delay
179,"""Vrihadaswa continued, 'Thus addressed by those celestials, the ruler of
Nishadhas spake again, saying, 'Those mansions are well-guarded.",Vrihadaswa,addressed by,celestials
180,"""Vrihadaswa continued, 'Thus addressed by those celestials, the ruler of
Nishadhas spake again, saying, 'Those mansions are well-guarded.",Vrihadaswa,Thus addressed by,celestials
181,"How can
I hope to enter them?'",I,can hope,to enter
182,"How can
I hope to enter them?'",I,can hope,enter
183,"How can
I hope to enter them?'",I,enter,them
184,"Indra replied, 'Thou shalt be able to enter.'",Thou,be,able
185,Nala thereupon went to the palace of Damayanti.,Nala,thereupon went to,palace
186,Nala thereupon went to the palace of Damayanti.,Nala,went to,palace of Damayanti
187,Nala thereupon went to the palace of Damayanti.,Nala,went to,palace
188,Nala thereupon went to the palace of Damayanti.,Nala,thereupon went to,palace of Damayanti
189,"And
having arrived there, he beheld the daughter of the king of Vidarbha
surrounded by her hand-maids, blazing in beauty and excelling in symmetry
of form, of limbs exceedingly delicate, of slender waist and fair eyes.",daughter,excelling in,symmetry of limbs exceedingly delicate
190,"And
having arrived there, he beheld the daughter of the king of Vidarbha
surrounded by her hand-maids, blazing in beauty and excelling in symmetry
of form, of limbs exceedingly delicate, of slender waist and fair eyes.",daughter,excelling in,symmetry of form of limbs exceedingly delicate
191,"And
having arrived there, he beheld the daughter of the king of Vidarbha
surrounded by her hand-maids, blazing in beauty and excelling in symmetry
of form, of limbs exceedingly delicate, of slender waist and fair eyes.",daughter,excelling in,symmetry of form of limbs exceedingly delicate of slender waist
192,"And
having arrived there, he beheld the daughter of the king of Vidarbha
surrounded by her hand-maids, blazing in beauty and excelling in symmetry
of form, of limbs exceedingly delicate, of slender waist and fair eyes.",he,beheld,daughter surrounded by her hand maids
193,"And
having arrived there, he beheld the daughter of the king of Vidarbha
surrounded by her hand-maids, blazing in beauty and excelling in symmetry
of form, of limbs exceedingly delicate, of slender waist and fair eyes.",he,beheld,daughter of king of Vidarbha surrounded
194,"And
having arrived there, he beheld the daughter of the king of Vidarbha
surrounded by her hand-maids, blazing in beauty and excelling in symmetry
of form, of limbs exceedingly delicate, of slender waist and fair eyes.",daughter,excelling in,symmetry of form of limbs delicate
195,"And
having arrived there, he beheld the daughter of the king of Vidarbha
surrounded by her hand-maids, blazing in beauty and excelling in symmetry
of form, of limbs exceedingly delicate, of slender waist and fair eyes.",daughter,excelling in,symmetry of form of limbs delicate of waist
196,"And
having arrived there, he beheld the daughter of the king of Vidarbha
surrounded by her hand-maids, blazing in beauty and excelling in symmetry
of form, of limbs exceedingly delicate, of slender waist and fair eyes.",daughter,excelling in,symmetry of form of limbs
197,"And
having arrived there, he beheld the daughter of the king of Vidarbha
surrounded by her hand-maids, blazing in beauty and excelling in symmetry
of form, of limbs exceedingly delicate, of slender waist and fair eyes.",daughter,excelling in,symmetry of form of limbs exceedingly delicate of waist
