,document,subject,relation,object
75,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,Damayanti,stole eyes by,her light.The daughter
76,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,Damayanti,stole by,her dazzling light.The daughter
77,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,Damayanti,stole by,her light.The daughter
78,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,Damayanti,stole eyes by,her dazzling light.The daughter
79,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,Damayanti,stole eyes by,her light.The daughter of Bhima
80,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,five people,like in,appearance
81,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,Damayanti,stole eyes by,her dazzling light.The daughter of Bhima
82,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,Damayanti,stole by,her light.The daughter of Bhima
83,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,Damayanti,stole by,her dazzling light.The daughter of Bhima
84,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,Damayanti,stole,eyes
85,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,Damayanti,stole,eyes of princes
86,King Bhima summoned the kings to the Swayamvara .Damayanti of beauteous face stole the eyes and hearts of the princes by her dazzling light.The daughter of Bhima saw five people all like in appearance.,people,like in,appearance
87,"Damayanti, daughter of Bhima, chose Naishadha for her husband.",Damayanti,chose,Naishadha
88,"Damayanti, daughter of Bhima, chose Naishadha for her husband.",Damayanti,chose for,her husband
89,"Damayanti, daughter of Bhima, chose Naishadha for her husband.",Damayanti,chose Naishadha for,her husband
90,"Damayanti, daughter of Bhima, chose Naishadha for her husband.",Damayanti,daughter of,Bhima
91,The gods and the great Rishis congratulated the king on his choice.,gods,congratulated,king
92,The gods and the great Rishis congratulated the king on his choice.,Rishis,congratulated on,his choice
93,The gods and the great Rishis congratulated the king on his choice.,Rishis,congratulated king on,his choice
94,The gods and the great Rishis congratulated the king on his choice.,great Rishis,congratulated on,his choice
95,The gods and the great Rishis congratulated the king on his choice.,great Rishis,congratulated king on,his choice
96,The gods and the great Rishis congratulated the king on his choice.,gods,congratulated king on,his choice
97,The gods and the great Rishis congratulated the king on his choice.,gods,congratulated on,his choice
98,The gods and the great Rishis congratulated the king on his choice.,great Rishis,congratulated,king
99,The gods and the great Rishis congratulated the king on his choice.,Rishis,congratulated,king
100,Damayanti also paid homage to Nala.,Damayanti,also paid to,Nala
101,Damayanti also paid homage to Nala.,Damayanti,paid to,Nala
102,Damayanti also paid homage to Nala.,Damayanti,paid,homage
103,Damayanti also paid homage to Nala.,Damayanti,also paid,homage
104,Damayanti also paid homage to Nala.,Damayanti,paid homage to,Nala
105,Damayanti also paid homage to Nala.,Damayanti,also paid homage to,Nala
106,Lokapalas of exceeding effulgence bestowed on Nala eight boons.,Lokapalas,bestowed,eight boons
107,Lokapalas of exceeding effulgence bestowed on Nala eight boons.,Lokapalas,bestowed on,Nala
108,"Sakra, Sakra and Hutasana gave him a boon of his own presence whenever he wanted.",Hutasana,gave,him
109,"Sakra, Sakra and Hutasana gave him a boon of his own presence whenever he wanted.",Sakra,gave,boon of his own presence
110,"Sakra, Sakra and Hutasana gave him a boon of his own presence whenever he wanted.",Sakra,gave,boon of his own presence
111,"Sakra, Sakra and Hutasana gave him a boon of his own presence whenever he wanted.",Hutasana,gave,boon of his presence
112,"Sakra, Sakra and Hutasana gave him a boon of his own presence whenever he wanted.",Sakra,gave,boon
113,"Sakra, Sakra and Hutasana gave him a boon of his own presence whenever he wanted.",Sakra,gave,boon
114,"Sakra, Sakra and Hutasana gave him a boon of his own presence whenever he wanted.",Hutasana,gave,boon of his own presence
115,"Sakra, Sakra and Hutasana gave him a boon of his own presence whenever he wanted.",Sakra,gave,him
116,"Sakra, Sakra and Hutasana gave him a boon of his own presence whenever he wanted.",Sakra,gave,him
117,"Sakra, Sakra and Hutasana gave him a boon of his own presence whenever he wanted.",Hutasana,gave,boon
118,"Sakra, Sakra and Hutasana gave him a boon of his own presence whenever he wanted.",Sakra,gave,boon of his presence
119,"Sakra, Sakra and Hutasana gave him a boon of his own presence whenever he wanted.",Sakra,gave,boon of his presence
120,Kali is angry because Damayanti's Swayamvara has chosen Nala for her husband.,Damayanti,has,Swayamvara
121,Kali is angry because Damayanti's Swayamvara has chosen Nala for her husband.,Kali,is angry,Damayanti 's Swayamvara has chosen
122,Kali is angry because Damayanti's Swayamvara has chosen Nala for her husband.,Kali,is angry,Damayanti 's Swayamvara has chosen for her husband
123,Kali is angry because Damayanti's Swayamvara has chosen Nala for her husband.,Kali,is angry,because Damayanti 's Swayamvara has chosen
124,Kali is angry because Damayanti's Swayamvara has chosen Nala for her husband.,Damayanti 's Swayamvara,has chosen,Nala
125,Kali is angry because Damayanti's Swayamvara has chosen Nala for her husband.,Damayanti 's Swayamvara,has chosen for,her husband
126,Kali is angry because Damayanti's Swayamvara has chosen Nala for her husband.,Damayanti 's Swayamvara,has chosen Nala for,her husband
127,Kali is angry because Damayanti's Swayamvara has chosen Nala for her husband.,Kali,is angry,because Damayanti 's Swayamvara has chosen for her husband
128,Kali is angry because Damayanti's Swayamvara has chosen Nala for her husband.,Kali,is,angry
129,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Kali,are going,she chose
130,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Kali,are going,because she chose
131,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Bhima,of,daughter
132,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Dwapara,are going,kill
133,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Nala,destroy,kingdom of Bhima 's daughter
134,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Bhima,'s daughter is,Naishadha
135,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Kali,are going,kill
136,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Dwapara,kill,Nala
137,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Nala,destroy,kingdom
138,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Dwapara,are going,because she chose over her
139,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Kali,are going,to kill
140,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Dwapara,are going,she chose over her
141,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Kali,are going,because she chose over her
142,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Dwapara,are going,because she chose
143,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Kali,are going,she chose over her
144,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Dwapara,are going,she chose
145,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",she,chose Nala over,her
146,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",she,chose,Nala
147,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",Dwapara,are going,to kill
148,"Kali and Dwapara are going to kill Nala and destroy the kingdom of Bhima's daughter, Naishadha, because she chose Nala over her.",she,chose over,her
